H_actual,H_predicted,H_sd,bottom_cover,H_est,p_bias,H_CI,pd
5.54560336515808,5.09788560553146,2.64737079662537,100,6.51370463987407,8.07338228405491,2.05916270398313,below
5.76115033043945,6.73209314393477,2.21593167500315,85,6.56551084493979,16.8532802965628,4.2501714984197,below
5.3619287960556,7.41248464013561,2.19499443977437,70,6.46955889010737,38.2428771823388,5.641558533998,below
3.39489691366638,4.47139450827997,1.68019576269957,95,5.99678741342777,31.709286673185,3.24589130666804,below
3.600993511026,4.55042151892974,2.06013868098115,100,6.04632224483782,26.365723931372,3.16008792359705,below
3.51023498271637,3.41564249193476,0.720286777369967,60,6.02450864647454,2.69476235201811,1.58093512949425,below
3.78205145480347,3.42006583193092,1.74720172109326,55,6.08983909487498,9.57114484555192,1.32106207195941,below
5.63131466221649,4.35438624566445,2.60468877321294,70,6.53430514810234,22.6754939680363,0.882243200430842,below
5.82818744193268,5.13895290224902,1.85852269074781,80,6.58162305668213,11.825881486322,1.84260321432341,below
5.34200463906606,5.04983904393564,2.2819864055388,41.6666666666667,6.46477016593575,5.46921268083162,2.18805864147085,below
3.85308079284119,4.86427232472156,1.50610410217404,95,6.1069108288577,26.2437147375448,3.374399133841,below
3.63541584569611,3.91807852511937,1.68304165447652,60,6.05459557184307,7.77525024428494,2.19682753518003,below
5.71129286061676,5.01493748042728,2.12046984529279,65,6.55352771958091,12.1926050227843,1.77485847878334,below
4.29418125389966,4.98274737736747,2.01073579494682,92,6.21292828500862,16.0348639881586,3.11628375241105,below
5.29977831842896,7.13250689010312,2.11854568591546,70,6.45462116929717,34.5812307903748,5.29090515298092,below
3.63436254141235,3.44535260836127,1.6346376546317,65,6.05434241264108,5.20063507416728,1.50296542585707,below
3.6884773030954,4.38486720649711,2.11186680864109,65,6.06734876806425,18.8801460921907,2.83099501536361,below
4.99653401781492,6.70180411011038,1.79786134491317,95,6.38173711638501,34.1290599886921,4.95495765422091,below
3.79245210460755,3.85924141490236,2.25235905580605,80,6.09233886654128,1.7611115039178,1.95644586657856,below
8.86506329179623,9.56690139783562,1.72233135341175,78.9473684210526,7.31152900934453,7.91689898806329,8.18810157876898,above
5.5386794003055,4.0665359604093,1.37125591664893,100,6.51204048124139,26.5793221361575,0.549891944923086,below
5.53992390436273,7.03591834471334,2.07202571293312,100,6.51233959485827,27.003880670139,4.91358425053038,below
3.6594307735994,4.39287351966706,2.06377051637962,65,6.06036750316194,20.0425364337815,2.87122915530418,below
3.420997987884,3.3186978678919,2.25820908289907,68.9655172413793,6.00306074509629,2.99035896409188,1.52587979876019,below
4.14472289277618,5.51298658956112,1.98233100568857,100,6.1770063201828,33.0121875981064,4.04218757422407,below
5.47695841352966,4.02030513484065,1.75319375250909,100,6.49720598754488,26.5960259090276,0.542419335690951,below
5.41833365808685,4.48148920531454,1.88716389679027,85,6.48311566575151,17.2902687780048,1.27779866660544,below
5.56215808932648,7.1947547027003,1.85582838741044,95,6.5176835288088,29.3518556494592,5.12528030547058,below
5.83003898130718,6.41930810969452,2.15485668184643,100,6.58206806980676,10.1074646374871,3.72287630958703,below
3.5806674825647,3.76954870433198,1.29656040964631,75,6.04143693180517,5.27502826461815,2.03214512062497,below
4.96389187998765,6.68686007024232,1.98672007000158,100,6.37389165549505,34.7100265660694,4.96497902653714,below
3.60364880325119,3.20368880288433,1.03762900305614,85,6.04696043806568,11.0987507996346,1.17782506984404,below
5.856388120784,7.46251431901124,2.32497185908525,100,6.58840102337564,27.4252007398074,5.23053957641994,below
