chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
2.43496366,0.101625806,0.024377999,0.011185906,0.000423911,NA
0.082803962,0.009886194,0.002147242,0.000815275,6.81E-05,NA
0.0631883,0.009762129,0.002144899,0.000628333,6.04E-05,NA
0.123797607,0.010238544,0.002387142,0.001132777,7.71E-05,NA
8.860678858,0.174019653,0.030987297,0.044804108,0.001272106,NA
1.695403757,0.050434084,0.007963334,0.014752929,0.000484593,NA
0.161550513,0.011106705,0.003666459,0.001130313,7.06E-05,NA
0.081502095,0.007401817,0.003161197,0.000538782,4.30E-05,NA
0.093468166,0.006735771,0.002344807,0.000711437,5.04E-05,NA
7.480051182,0.512156794,0.102064153,0.028147436,0.001267287,NA
5.076392079,0.181336272,0.01972247,0.04137901,0.001522794,NA
2.594029703,0.09898783,0.005555466,0.0506078,0.001835752,NA
3.261684158,0.051165366,0.004510553,0.054100404,0.001289824,NA
1.186561059,0.029643041,0.005609618,0.010750192,0.000339618,NA
0.287961537,0.027332912,0.002130405,0.005495664,0.000333774,NA
0.088965573,0.011778215,0.001741732,0.001119644,9.46E-05,NA
0.179145964,0.01463843,0.002222213,0.00213112,0.000133088,NA
0.162211468,0.023176001,0.003351855,0.001930141,0.000153617,NA
0.283337512,0.027348019,0.005687163,0.002346881,0.000150193,NA
0.360684615,0.034819064,0.005933221,0.00334269,0.000205465,NA
0.385284538,0.041852602,0.005363871,0.004518306,0.000286707,NA
3.131199167,0.260183334,0.011285333,0.066476267,0.003352857,NA
0.053234832,0.009899336,0.0019285,0.000586432,6.23E-05,NA
0.053431102,0.01018452,0.001723427,0.000642447,6.83E-05,NA
0.104168012,0.01107481,0.002168712,0.001070807,8.17E-05,NA
22.10495255,0.450411065,0.034794622,0.200282868,0.006154039,NA
31.85222857,0.380401309,0.017739322,0.557100431,0.014318726,NA
17.50520023,0.39603386,0.020779286,0.244109838,0.007914296,NA
76.24849492,0.521147232,0.030683854,NA,0.021063201,NA
38.41544752,0.897314529,0.049049914,0.404557883,0.011560207,NA
3.815783656,0.228931076,0.101235705,0.010311515,0.000439448,NA
1.284451731,0.144431006,0.017480328,0.0116077,0.00067254,NA
0.659279204,0.105287455,0.009507874,0.00938882,0.000650333,NA
3.270395722,0.1955342,0.069918625,0.010167071,0.000437206,NA
2.266629574,0.174901126,0.045811734,0.009296308,0.000451872,NA
1.09870257,0.180797023,0.025851399,0.00862727,0.000582142,NA
2.942421492,0.233938913,0.071240188,0.010344363,0.000502194,NA
0.83235706,0.160752508,0.027978744,0.00590444,0.000432628,NA
0.411574236,0.08289383,0.011268871,0.00433594,0.000347743,NA
0.803955758,0.067619915,0.013989531,0.005198974,0.000278902,NA
3.404079427,0.414584171,0.084360505,0.015237986,0.00087218,NA
1.85858162,0.136437285,0.018566838,0.014188435,0.000688492,NA
1.673623652,0.081452761,0.018546758,0.008841503,0.000362117,NA
0.838261956,0.047412461,0.00926973,0.006115998,0.000277218,NA
0.0157898,0.008908127,0.002479046,0.000175077,3.73E-05,NA
0.013760452,0.008056838,0.002246251,0.000156833,3.48E-05,NA
0.015737659,0.009466142,0.002241936,0.000192194,4.16E-05,NA
0.035973356,0.009509052,0.003296107,0.000293476,4.02E-05,NA
0.083056528,0.010785066,0.002530146,0.000772379,6.75E-05,NA
0.062778647,0.034651239,0.003152635,0.001314477,0.00021147,NA
0.055611987,0.031627721,0.003415421,0.001015285,0.000169157,NA
0.047621001,0.015386894,0.002019798,0.00070457,9.45E-05,NA
0.025405262,0.019540626,0.00182513,0.000564775,0.000121944,NA
0.558209498,0.180767224,0.009233363,0.015483086,0.00141044,NA
0.886143692,0.144725355,0.010626557,0.014999503,0.001040319,NA
0.460147166,0.046531141,0.004722599,0.006622361,0.000400087,NA
0.426070133,0.047614566,0.00487533,0.006088948,0.000386398,NA
0.458315869,0.053965978,0.005582372,0.006377392,0.000410361,NA
0.463335276,0.045441256,0.005025678,0.006127729,0.000365477,NA
0.333962505,0.048612396,0.004844581,0.005005846,0.000364308,NA
0.338461043,0.045117304,0.005010666,0.004588178,0.000322274,NA
0.817705245,0.319551916,0.03104457,0.010100424,0.000957558,NA
0.489459142,0.394975898,0.028516949,0.009935212,0.001230938,NA
1.272353323,0.291085454,0.03415311,0.011532166,0.000889844,NA
2.762489093,0.248885213,0.032452586,0.019285514,0.001043693,NA
0.462136339,0.048590356,0.003093409,0.008976879,0.000516761,NA
0.203631406,0.041170335,0.003035701,0.003779093,0.000278976,NA
0.172196295,0.032385351,0.002648951,0.002901515,0.000203954,NA
0.153576493,0.022975512,0.002694671,0.001925391,0.000133586,NA
0.210247753,0.034900585,0.002775709,0.003569496,0.000243935,NA
0.066021083,0.011354049,0.002985889,0.000514573,4.68E-05,NA
0.056751223,0.011158728,0.0028227,0.000463379,4.47E-05,NA
0.055090201,0.010095789,0.002792393,0.000428283,4.12E-05,NA
0.038646574,0.008211702,0.002212233,0.000323494,3.45E-05,NA
0.050328168,0.007663025,0.002772281,0.000342972,3.29E-05,NA
0.057436234,0.007149326,0.003060256,0.000390156,3.70E-05,NA
0.046676397,0.007800898,0.002246157,0.000366444,3.54E-05,NA
