chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
1.467014708,0.10481448,0.042097157,0.00374859,0.000184337,9.76E-07
3.612658524,0.18630436,0.04962933,0.009350953,0.00037648,1.72E-06
0.163836674,0.021244794,0.002827671,0.001412871,0.000110254,2.57E-07
0.126662169,0.019018826,0.001707241,0.001490744,0.000124975,2.52E-07
0.085246622,0.012860874,0.001270458,0.000973173,8.69E-05,2.24E-07
0.176210555,0.018984502,0.002084505,0.001708555,0.00012051,2.61E-07
0.209625534,0.016935277,0.001980616,0.001980068,0.000121759,2.64E-07
0.170540846,0.019049309,0.002661718,0.001415314,0.000103494,2.54E-07
0.077328464,0.012367839,0.001027304,0.00100691,9.28E-05,2.21E-07
2.092244587,0.094509806,0.021620361,0.00668792,0.000264044,8.94E-07
0.580446209,0.069563667,0.008920406,0.003773873,0.000239999,4.15E-07
0.172851432,0.064567815,0.004512856,0.002751137,0.000314224,3.70E-07
0.386299884,0.03384749,0.002869617,0.00427485,0.000248553,3.30E-07
0.102425706,0.018202626,0.002179939,0.001055351,0.000100031,2.33E-07
0.047413854,0.007033945,0.001124365,0.000434044,4.39E-05,1.16E-07
0.075719535,0.007763742,0.00136279,0.000616923,5.04E-05,2.04E-07
0.049624125,0.009532261,0.001674971,0.000458503,5.14E-05,9.98E-08
0.040454514,0.008718743,0.001346943,0.000406797,4.89E-05,1.88E-07
0.060998619,0.008075718,0.001,0.000627239,5.72E-05,1.13E-07
0.033796166,0.007266526,0.001186367,0.000333022,4.14E-05,1.06E-07
0.042108875,0.006769747,0.00117248,0.000386193,4.14E-05,1.13E-07
4.197417042,0.114948643,0.034213358,0.010288219,0.000321241,1.41E-06
5.430726882,0.05222061,0.014527451,0.018939576,0.000392328,1.22E-06
0.427223275,0.035715508,0.004053558,0.003646523,0.000208203,3.32E-07
0.282079059,0.025790462,0.002856127,0.002758329,0.000172323,2.84E-07
0.230648671,0.016930603,0.001874883,0.002300237,0.000134107,2.66E-07
0.135907507,0.010484347,0.001621357,0.001195135,7.88E-05,2.26E-07
0.087582968,0.009910985,0.001326099,0.000859485,6.97E-05,2.14E-07
0.05749772,0.008842739,0.001052005,0.000630257,6.14E-05,1.04E-07
0.079749331,0.018799055,0.00124312,0.001201363,0.000128117,1.17E-07
0.831194135,0.053371868,0.005566805,0.006500342,0.000309891,4.70E-07
0.31549497,0.04039861,0.005242587,0.002323354,0.000164152,3.23E-07
0.177828015,0.014058877,0.002557587,0.001241623,8.01E-05,2.38E-07
0.116402773,0.011362009,0.001486265,0.00113823,8.31E-05,2.27E-07
0.104088839,0.009957416,0.001306649,0.00100896,7.44E-05,1.17E-07
0.056711838,0.007382056,0.001055643,0.000559851,5.18E-05,1.17E-07
0.07315428,0.011195245,0.001439513,0.000689398,6.45E-05,1.12E-07
0.146925484,0.015103751,0.002664161,0.001097159,8.07E-05,2.32E-07
2.597713467,0.114289576,0.024666191,0.008236498,0.000317118,9.99E-07
0.103302974,0.009689872,0.001124279,0.001053438,7.67E-05,2.19E-07
0.079916751,0.007946107,0.001129586,0.000743081,5.86E-05,2.08E-07
0.170736182,0.018793903,0.002040802,0.001761619,0.00012632,2.56E-07
0.485419731,0.029061462,0.003249637,0.004345357,0.000212154,3.56E-07
0.063790732,0.009103582,0.001231091,0.000658858,6.19E-05,2.02E-07
0.067636245,0.009566139,0.001206275,0.000714413,6.59E-05,2.04E-07
0.123640857,0.010242129,0.001376389,0.001126997,7.66E-05,2.27E-07
0.09258127,0.007167462,0.001111963,0.000812312,5.75E-05,2.09E-07
3.439475088,0.153121742,0.020918677,0.015278116,0.000601212,1.58E-06
1.933659798,0.11681365,0.008554434,0.016741458,0.000747796,8.33E-07
0.372776849,0.079344036,0.005185014,0.005067569,0.00041844,4.26E-07
0.23824462,0.023090522,0.00249238,0.002397317,0.000156436,2.69E-07
0.071245331,0.014810826,0.001130402,0.001085683,0.000113756,2.21E-07
0.075559764,0.011408474,0.001,0.001031039,9.41E-05,2.17E-07
0.100400928,0.008422774,0.001,0.001021709,7.19E-05,2.36E-07
5.463039543,0.183251968,0.015510192,0.034637427,0.00123434,1.73E-06
1.632026609,0.097261066,0.008281154,0.012940069,0.000576562,7.62E-07
0.768960414,0.058832181,0.004520801,0.007952735,0.000407546,4.77E-07
0.516710663,0.037073034,0.003017071,0.005687827,0.000293397,3.88E-07
0.42552113,0.031410236,0.00292757,0.004280316,0.000229049,3.62E-07
0.194684893,0.016644639,0.001879108,0.001940431,0.000123321,2.57E-07
0.098972948,0.01018065,0.001409713,0.000919055,7.07E-05,1.15E-07
0.102673753,0.009183233,0.001147377,0.001019452,7.34E-05,1.10E-07
0.104713093,0.010209507,0.00138071,0.000964431,7.17E-05,2.20E-07
0.092860119,0.010445276,0.001281215,0.000931689,7.42E-05,2.17E-07
2.755001976,0.109874373,0.019047001,0.010313043,0.000383144,1.08E-06
3.166516561,0.11863404,0.018051049,0.012749743,0.000459958,1.11E-06
3.790189786,0.107344721,0.0155607,0.017070924,0.000550997,1.31E-06
0.406718203,0.031374746,0.002681471,0.004587705,0.000250806,3.54E-07
3.721200444,0.094639406,0.011205474,0.021128549,0.000651555,1.15E-06
0.420763004,0.036014559,0.002505091,0.005442136,0.000307398,3.59E-07
0.980161028,0.057979884,0.005720536,0.008015252,0.000364611,4.87E-07
2.43496366,0.101625806,0.01429802,0.011185906,0.000423911,8.95E-07
0.082803962,0.009886194,0.001293851,0.000815275,6.81E-05,2.11E-07
0.0631883,0.009762129,0.001260412,0.000628333,6.04E-05,1.10E-07
0.123797607,0.010238544,0.001415024,0.001132777,7.71E-05,2.26E-07
8.860678858,0.174019653,0.019094528,0.044804108,0.001272106,2.14E-06
1.695403757,0.050434084,0.00524201,0.014752929,0.000484593,8.15E-07
0.161550513,0.011106705,0.002172399,0.001130313,7.06E-05,2.32E-07
0.081502095,0.007401817,0.001918952,0.000538782,4.30E-05,2.01E-07
0.093468166,0.006735771,0.001490921,0.000711437,5.04E-05,1.07E-07
7.480051182,0.512156794,0.050690847,0.028147436,0.001267287,3.02E-06
5.076392079,0.181336272,0.011572693,0.04137901,0.001522794,1.59E-06
2.594029703,0.09898783,0.003791332,0.0506078,0.001835752,1.29E-06
3.261684158,0.051165366,0.00332653,0.054100404,0.001289824,1.33E-06
1.186561059,0.029643041,0.003411398,0.010750192,0.000339618,4.55E-07
0.287961537,0.027332912,0.001271051,0.005495664,0.000333774,3.02E-07
0.088965573,0.011778215,0.001068279,0.001119644,9.46E-05,2.18E-07
0.179145964,0.01463843,0.001360471,0.00213112,0.000133088,2.53E-07
0.162211468,0.023176001,0.002034688,0.001930141,0.000153617,2.68E-07
0.283337512,0.027348019,0.003458885,0.002346881,0.000150193,2.94E-07
0.360684615,0.034819064,0.003584525,0.00334269,0.000205465,3.36E-07
0.385284538,0.041852602,0.003239979,0.004518306,0.000286707,3.49E-07
3.131199167,0.260183334,0.007164287,0.066476267,0.003352857,1.24E-06
0.053234832,0.009899336,0.001189235,0.000586432,6.23E-05,2.02E-07
0.053431102,0.01018452,0.001046074,0.000642447,6.83E-05,2.04E-07
0.104168012,0.01107481,0.001288459,0.001070807,8.17E-05,2.23E-07
22.10495255,0.450411065,0.018046062,0.200282868,0.006154039,3.71E-06
31.85222857,0.380401309,0.009515401,0.557100431,0.014318726,4.29E-06
17.50520023,0.39603386,0.011459643,0.244109838,0.007914296,3.70E-06
76.24849492,0.521147232,0.011662949,NA,0.021063201,2.94E-06
38.41544752,0.897314529,0.018622647,0.404557883,0.011560207,2.81E-06
3.815783656,0.228931076,0.049766926,0.010311515,0.000439448,1.24E-06
1.284451731,0.144431006,0.010321447,0.0116077,0.00067254,1.16E-06
0.659279204,0.105287455,0.005780155,0.00938882,0.000650333,5.76E-07
3.270395722,0.1955342,0.037635009,0.010167071,0.000437206,1.43E-06
2.266629574,0.174901126,0.025158301,0.009296308,0.000451872,7.51E-07
1.09870257,0.180797023,0.015070759,0.00862727,0.000582142,2.66E-06
2.942421492,0.233938913,0.037832581,0.010344363,0.000502194,1.52E-06
0.83235706,0.160752508,0.01610716,0.00590444,0.000432628,1.34E-06
0.411574236,0.08289383,0.006784493,0.00433594,0.000347743,4.39E-07
0.803955758,0.067619915,0.00821138,0.005198974,0.000278902,4.95E-07
3.404079427,0.414584171,0.042482073,0.015237986,0.00087218,2.47E-06
1.85858162,0.136437285,0.010696891,0.014188435,0.000688492,8.03E-07
1.673623652,0.081452761,0.010808746,0.008841503,0.000362117,7.14E-07
0.838261956,0.047412461,0.00556955,0.006115998,0.000277218,4.70E-07
0.0157898,0.008908127,0.001981046,0.000175077,3.73E-05,1.95E-07
0.013760452,0.008056838,0.00181069,0.000156833,3.48E-05,1.91E-07
