,H_actual,H_predicted,H_sd,H_CI
65,3.00197788383538,3.0406763848244,0.0379238340970866,0.0379238340970866
66,2.07454222907054,2.21567513303295,0.487545667508026,0.138307704399934
67,2.78132830067272,2.80284768899227,1.51515802948664,0.0210886130378253
68,3.09022342543887,3.06243084247757,1.41034048136818,0.0272362308207482
69,3.37611540338373,3.38911008061908,0.012734549685996,0.012734549685996
70,3.03006017924698,3.38942432677146,0.893677187083805,0.352170393241457
71,2.90169575265162,2.90233337385436,0.00062485729657924,0.00062485729657924
72,3.10377354776916,3.11893287441934,0.321690030687104,0.0148558671321233
73,3.19926636730838,3.43157708624648,1.04305332516712,0.227660321170638
74,2.82614018732224,2.62213336988642,0.199923007387427,0.199923007387427
75,3.18324525001746,3.18367903081089,1.37193985201587,0.000425097366154477
76,3.14421329454138,3.13947778094353,2.16386082714409,0.00464071805004302
77,2.6944426393973,2.65240538513212,0.0293086232532374,0.0411957521843507
78,3.25770223682876,3.26180948802048,3.23325015523002,0.00402503220561233
79,2.60435344022775,2.57777237230196,0.73932133697368,0.0260489679025794
80,2.49105096462921,2.49932224424527,0.00810570507677395,0.00810570507677395
81,2.03518902692634,2.34532041089354,0.555252087197336,0.303923171525636
82,3.32324156283136,3.31764190632417,0.00548756253994482,0.00548756253994482
83,3.40351892657791,3.42313214708686,1.08660288403832,0.0192206029091899
84,2.43208076303526,2.45292513729997,1.31693063364586,0.020427111419548
85,3.13609122019884,3.17080445589345,1.44392489828749,0.0340183458741447
86,3.54505541068793,3.5503775435519,0.00521559436715485,0.00521559436715485
87,3.64246939718515,3.68510893971483,0.0417859838377189,0.0417859838377189
88,3.5574938553223,3.55149531466061,0.00587846182835446,0.00587846182835446
89,3.64748808767744,3.6706278001394,1.04283815864118,0.0226765015190251
90,2.23660254787602,2.29458308366869,1.77059263695505,0.056819880978986
91,2.8108068277809,2.80941738936541,0.0013616246265521,0.0013616246265521
92,3.70619063409948,3.71949413972586,0.0405358875723071,0.0130371959479205
93,2.9878920477086,3.02002761366825,1.29028732239994,0.0314922759518575
94,3.34729360087201,3.35773378795369,0.95330445395274,0.0102311953359691
95,3.30171986340639,3.32152290713446,0.0194066262456385,0.0194066262456385
96,2.21075808577986,2.56859361697205,0.501392650021106,0.350672376762726
97,3.77844893467458,3.82570002990365,4.29722965429155,0.0463052224395284
98,3.15334919545115,3.15313593031206,0.724308019762367,0.000208995995880016
99,2.61424262956618,2.62022249173899,0.56675903470329,0.00586015724561094
100,3.71317214612047,3.72385548419953,3.38193052040212,0.0104694789348176
101,2.38818429979205,2.37482591255284,1.97403147247736,0.0130909789402031
102,2.60648296469101,2.56918226309914,0.0365540158590684,0.0365540158590684
103,2.65150983334505,2.64219323928604,1.4403109589441,0.00913009440711806
104,2.95270817729257,2.91285126786608,0.436743429408227,0.0390590535055042
105,2.66802627198753,3.0417745313572,1.14906183530805,0.366266563824551
106,2.59535664915758,2.58433699780003,1.74282532617005,0.0107990598914875
107,3.95479880247019,4.0078199093655,1.83624768644628,0.051959729967629
108,3.05643707663461,2.99130208889974,2.34228572628402,0.0638311150469033
109,2.62659379263365,2.63722090099616,1.66204832018557,0.0104143748251633
110,2.98227815832375,3.01311713070927,0.0302216375979212,0.0302216375979212
