clust_id,rrs_type,inv_model,var,median_ratio,bias,uncertainity,rmsle,R_square,slope
3,insitu,QAA,adg443,-0.209426252,-9.499249719,63.36598515,0.395821276,0.639480283,1.120403564
4,insitu,QAA,adg443,-0.158180935,-6.816426624,57.68931963,0.302949763,0.630787272,1.165523757
5,insitu,QAA,adg443,-0.165032648,-7.160579227,62.77767407,0.439032815,0.450213568,0.957665328
6,insitu,QAA,adg443,-0.290947643,-14.31783382,88.500879,0.529419642,0.303968635,0.813598079
7,insitu,QAA,adg443,-0.274993386,-13.31851723,96.56235537,0.526027356,0.250082702,0.834511318
8,insitu,QAA,adg443,-0.223806691,-10.29856216,78.36931612,0.482128001,0.298387272,1.193764378
1,synthetic,SABER,adg443,-0.013054834,-0.486571341,16.79261299,0.001529458,0.79149556,1.094031693
2,synthetic,SABER,adg443,0.010747956,0.399667803,16.16313211,0.003511804,0.582402961,0.900800729
3,synthetic,SABER,adg443,-0.060289561,-2.355760088,16.7154017,0.009179031,0.534490555,0.810515144
4,synthetic,SABER,adg443,-0.20079886,-9.029684928,24.68918465,0.031304653,0.60773335,0.922362153
5,synthetic,SABER,adg443,-0.236173409,-11.00285334,30.03127989,0.079217138,0.623928242,1.238582531
6,synthetic,SABER,adg443,-0.053611434,-2.080875468,29.21140939,0.145761772,0.639271208,1.597051422
7,synthetic,SABER,adg443,-0.351038739,-18.34487474,47.96000631,0.269028941,0.494653701,2.534459248
1,synthetic,QAA,adg443,0.034534554,1.315096252,13.5544158,0.001337617,0.82524653,0.925573397
2,synthetic,QAA,adg443,0.010679052,0.397078211,12.99964742,0.002941507,0.723607416,0.969132809
3,synthetic,QAA,adg443,-0.036988258,-1.411995106,13.02290986,0.007068965,0.733624818,1.001004369
4,synthetic,QAA,adg443,-0.041425541,-1.588417231,16.65775837,0.025554103,0.729582631,1.186152254
5,synthetic,QAA,adg443,0.19251674,8.585843648,27.03701068,0.114762521,0.742340527,1.489688298
6,synthetic,QAA,adg443,0.462194526,26.99347816,63.15049391,0.294293397,0.665623607,1.551289625
7,synthetic,QAA,adg443,-0.132030599,-5.542685938,23.70559499,0.228066833,0.28902745,2.412789658
