,H,fa1,fa2,fa3,sigma_pop,sd_H,sd_fa1,sd_fa2,sd_fa3,sd_sigma_pop
385,8.13518934419949,0.510598310094246,0.242771047731788,0.248881052318939,0.000582240363160652,0.00088223893547436,0.00376903090918818,0.00314013885475361,0.000192142474355892,NA
386,7.38438640828186,0.398111866845507,0.324253696308339,0.257505370847803,0.000240681619969061,NA,NA,NA,NA,NA
387,7.30272315361709,0.411639372664852,0.314611112090585,0.258140410443951,7.49121805545235e-05,0.000288326760655435,0.0292961117378136,0.0203966304072699,0.00259097396507408,NA
388,8.13950498570351,0.345300812823252,0.361172385455557,0.263593854190276,0.000281182938497029,NA,NA,NA,NA,NA
389,7.23390886568137,0.505982044585565,0.24632848497796,0.249405360758109,0.00157038284056642,0.00106165166221971,0.0042883191254612,0.00354353340973343,0.00037429723309341,NA
390,6.69909537932209,0.622108644487672,0.0789948142403871,0.269614927347103,0.259923025552688,NA,0.0429862180170332,NA,0.017033660821252,NA
391,7.45406145929384,0.318591783883537,0.384782188243905,0.260322408178596,0.00138145667152709,NA,NA,NA,NA,NA
392,7.79990498620363,0.350895104839075,0.35718664478884,0.26330289799367,0.00019283676347054,NA,NA,NA,NA,NA
393,8.07727766949231,0.325746464279511,0.375656388292137,0.265727106116646,6.93745144235207e-05,0.000789913555139986,0.039291123245918,0.0271437000942917,0.00348214672550825,NA
394,7.84270130297824,0.623243176070564,0.152140984528607,0.247157958042868,0.0035710976962459,NA,NA,NA,0.00160586822934573,NA
395,8.07408418721376,0.34853966018632,0.359470899480303,0.261590260478494,0.000177181932619511,NA,NA,NA,NA,NA
396,8.0321105584251,0.356278052143587,0.356555109138051,0.258522099152415,0.000834154395213805,NA,NA,NA,NA,NA
397,7.10417325185147,0.339728685129597,0.364432572595401,0.264237785950603,0.00010734203510488,NA,NA,NA,NA,NA
398,7.84471956552338,0.438474514188948,0.294800796690448,0.254389222555867,0.000102659726437116,NA,NA,NA,NA,NA
399,7.65702475990489,0.382576265111881,0.334937162933668,0.259616389274495,0.000128291524707679,NA,NA,NA,NA,NA
400,7.40880012865889,0.500446224313331,0.251077111718736,0.249054748387672,0.000130700750682446,0.00052677012878601,0.00840470938191337,0.00613502809253774,0.000542927342350076,NA
401,6.93371022590556,0.0486238546266604,0.598195792821486,0.264011628544383,0.0065461143072292,NA,NA,NA,0.00499744740235384,NA
402,8.34785639841821,0.367284031885626,0.347963297066701,0.257981461244521,0.000377377768951954,NA,NA,NA,NA,NA
403,7.71505558362485,0.357932727232561,0.352091843793456,0.262568390885994,0.000166281210803501,NA,NA,NA,NA,NA
404,8.30470587712337,0.499652331118809,0.250499417311401,0.249962267546998,0.00044861021825803,NA,0.000170828049394571,0.000116247177968546,6.21832670268287e-05,NA
405,7.44565912851637,0.502219488833974,0.248328247546111,0.250298688366091,0.0001656919225542,0.000217622594361634,0.00166295857454199,0.00127220728635976,0.000104966306676325,NA
406,8.23124990376704,0.359374035051733,0.357094022321738,0.256492240152874,0.00152861184865321,NA,NA,NA,0.000711066502412383,NA
407,8.43112721630734,0.299349082120982,0.392051702714021,0.274808270841945,7.30078476794538e-05,0.00305152091682267,0.0861008712756759,0.0611431003667804,0.00631472871220363,NA
408,7.44152244409805,0.823542937366377,0,0.23901660445201,0.00602653975406037,NA,NA,NA,0.00309908601946478,NA
409,8.37443512521366,0.253412356179429,0.439984726218303,0.259776647746918,0.00265152723580487,NA,NA,NA,0.00190852597651394,NA
410,7.16084638985852,0.43266820050339,0.299941976430225,0.254127113487661,0.000320357358143764,NA,NA,NA,NA,NA
411,8.51059550067319,0.347412253476125,0.360082432327353,0.26224385041427,9.47123961353529e-05,NA,NA,NA,NA,NA
412,8.1826741080321,0.355072153161764,0.351764027177481,0.264074558746719,0.000420221041725423,0.0019116246044753,0.0161730918591108,0.0135357420544907,NA,NA
413,7.20140358891161,0.362685959150661,0.350904655757851,0.258853555861062,0.000399096818291943,NA,NA,NA,NA,NA
414,8.45015458661929,0.369443738386231,0.348878263744392,0.256368188091165,0.000819576710601535,NA,NA,NA,0.000280246427979742,NA
