"","1.25","1.5","1.75","2","2.25"
"582.7",0.130768437203565,0.0875899155638066,0.0608770413879982,0.057246189060879,0.0562929322876652
"587.1",0.122538037770388,0.0803787877245344,0.0545359921827675,0.0514654990778038,0.0504506537692822
"591.5",0.112103069634761,0.071694893047332,0.04670672654547,0.0434609020542817,0.0423929281006165
"596.1",0.10350738196649,0.0653913707213295,0.0410531893966473,0.037630564065486,0.0365792360438075
"600.6",0.0956607757360224,0.0589573602000762,0.0356198614635281,0.0324119150904443,0.0316484492213572
"604.8",0.0904386962682563,0.0553115351523258,0.0328841184093565,0.0295877624299218,0.0290225920943761
"609",0.0847666449356963,0.0483000943411465,0.0280090192505319,0.0246963203690867,0.0236329596877683
"613.7",0.080443487927868,0.0459196949962994,0.0264043369437669,0.0229032526014359,0.0217508697104096
"618.7",0.0746389088874762,0.0417489374457386,0.0231038784846729,0.0197831931361465,0.0184663001614728
"623.4",0.0691055474638642,0.0375466203029441,0.020146725195144,0.0169795342809288,0.0155943369103745
"628",0.0634332076639976,0.0340098020854044,0.0176685375483766,0.0144286472958434,0.0128423084500885
"632.7",0.0581502570868584,0.0300781268381545,0.0145898661716522,0.0115720010795533,0.00999356634947895
"637.2",0.0529542267971891,0.02603256538378,0.0116127903584289,0.00892009037876005,0.00700319026285785
"641.8",0.0476737749360202,0.0221542324634392,0.00868555268921375,0.00571709072415968,0.00410867122677278
"646.6",0.0441213897025935,0.020286882575481,0.00740972542542565,0.00444365813596764,0.00266829953984286
"651.2",0.0413206155309261,0.0184645974721839,0.00666320332320495,0.00410487721605204,0.00243150690133222
"656",0.0417866017251527,0.0200318144757693,0.00875135258475924,0.00610523565411747,0.00476342260571781
"660.6",0.0439517733780199,0.0240591523828303,0.0131491733953991,0.0102928799937998,0.00880743665462768
"665",0.0474806852655358,0.027942064572964,0.0176168590943067,0.0153261409719892,0.0137042137069541
"669.6",0.048718309448064,0.0299624886067387,0.0201898307164889,0.0180720285968756,0.0163074460631601
"674",0.04638723972079,0.0287867590090534,0.0191772112323367,0.0169044911871121,0.0154806968071486
"678.3",0.040331347338824,0.0230206957040305,0.0139470561664649,0.0121436193958517,0.01037436790581
"682.7",0.0315429188630693,0.0142201138383676,0.00590124357890046,0.00399833101981703,0.00224034735429212
"686.6",0.0214515858169209,0.00448394502179114,-0.0033438067903384,-0.00565860111158019,-0.00687888069120328
"690.8",0.0121401493006013,-0.00528039692444773,-0.0127289125547364,-0.0148868959417555,-0.0154042357166994
"694.7",0.004168562886184,-0.01418375400522,-0.0205978877291112,-0.0223621207565849,-0.0229570010972344
"698.4",-0.00286739545085657,-0.0211503860487591,-0.027285997362613,-0.0294605303277993,-0.0296480835658435
"702.3",-0.00817730292052277,-0.0251568144113355,-0.0313577875749347,-0.0335472651414143,-0.0336367521006964
"706",-0.011936229308985,-0.0293441698490103,-0.0354671439583994,-0.0373212122065825,-0.0366720188357085
"709.7",-0.0153535657185338,-0.0332022457629123,-0.0391251863517001,-0.0410266078634092,-0.0406299567008924
"713.2",-0.0196514605625915,-0.037088928155142,-0.0435180287134391,-0.0453147970258425,-0.0441791940214596
"716.8",-0.0217737865341314,-0.0396451856495293,-0.0462526232911845,-0.0472967496384257,-0.0454500744485777
"720.1",-0.0246978351367671,-0.0438728518615935,-0.050325664742652,-0.0507515859451769,-0.0488712580275202
"723.7",-0.0276895086397695,-0.0465104513961336,-0.0539170753867697,-0.055216307832679,-0.0516663029470627
"726.8",-0.0316749389898551,-0.0512646778466502,-0.0589854051588934,-0.0590619756320106,-0.0559813488775226
"730",-0.0382323649292751,-0.0598364406029029,-0.0674244462432914,-0.0665380785377612,-0.063040198193386
"733.4",-0.0429522095161096,-0.0641969696816344,-0.0725422469880456,-0.0723112967983215,-0.0678310841175256
"736.7",-0.0481872309766292,-0.0683728958362995,-0.0778236474346702,-0.0771654878848029,-0.0720781867680592
"739.3",-0.0483234313408914,-0.0692594305364267,-0.0780639792645688,-0.0766072346962509,-0.0712293062837334
"742.4",-0.0474605958864893,-0.0676075673277129,-0.0763449212771474,-0.0754481838066196,-0.0704936128028399
"745",-0.0500817518618119,-0.0667763146970586,-0.0749346118590202,-0.0746404966090719,-0.0705513772555276
