"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"102",0.798397954835839,1.55862351536914,1.36028322749724,0.671913327243936,0.825147583398212,1.2397627817822,0.942977945875464,1.49936167496489,1.05936212696117,0.862066122276907,1.24100814886007,1.58155399835291,1.30913542501165,0.801293100691008,1.41718179181985,1.55502808345435,1.1407187626998,0.848157436633747,1.00505568929661,1.42107603610213,0.77307023512556,1.33823553499475,0.892877306406719,0.826123564962537,0.994579613230695,0.991285867498408,0.533202710611555
"103",0.785772915700437,1.53000676636219,1.3332982112566,0.658332327490453,0.803509596478869,1.20460237305751,0.914942814894726,1.45602651139084,1.03014043102136,0.842629572423551,1.21579925507432,1.55088686439249,1.28343322186388,0.78489517311938,1.3873373927382,1.52190403052139,1.11641728116035,0.829985782283909,0.983265456121767,1.39016524586037,0.756216773236428,1.31066562763601,0.876140530142586,0.815578400311251,0.986151797557184,0.981986980975314,0.528187901485541
"104",0.776343701853324,1.51332970566597,1.31961940483729,0.651706008363751,0.797606620545371,1.19692716424115,0.909680336372816,1.44716962300364,1.02333219402616,0.835377327566952,1.20426659335492,1.53561422111508,1.27091215623484,0.777485059845784,1.37455273649209,1.50801934898293,1.10616853249788,0.822288725845314,0.973952461975381,1.37692189242922,0.748986924458568,1.29782349014989,0.867234513406436,0.806332039055996,0.974008823071338,0.970192116442829,0.521848025541154
"105",0.76933270489926,1.49578695345376,1.30235705533656,0.645047075451107,0.792058017441711,1.18999512449738,0.905067124506323,1.43944521016259,1.01743671665184,0.829218092947207,1.19453091269734,1.52274942702102,1.26037408704039,0.771267482521319,1.36385038687917,1.49640751887601,1.0967734746887,0.813758926347555,0.959983130377884,1.35565333915903,0.736892748489492,1.2771689041183,0.853744271250515,0.794716255528746,0.959377579885131,0.956677698285754,0.514594242681892
"106",0.757663331885289,1.48260985222012,1.2957184009775,0.637936224027272,0.779669534324997,1.16942844668954,0.888560366406012,1.41317243765273,0.998844023676579,0.813995203356988,1.17255714405316,1.49471398654576,1.23702634519723,0.756680208553554,1.33767581795108,1.46751924476748,1.07658647972748,0.800513726144111,0.94869977417536,1.34143263045927,0.729758272967651,1.26294542335673,0.842318655677459,0.77837724270056,0.936435149266979,0.933357366377349,0.502043891042894
"107",0.746509591736301,1.45823873255975,1.27313397628359,0.62816364161537,0.769879687942993,1.15590098434182,0.878898994446023,1.39670651165172,0.98596830125237,0.799655283231478,1.14944907307549,1.46397430658949,1.21362048582486,0.746633466619743,1.32532058075432,1.45638248298286,1.06739586591604,0.7924712211737,0.93614628127729,1.32249531221714,0.719044889922337,1.24524028815866,0.831374138643526,0.77083863461477,0.929390205091727,0.926044567983535,0.498106189278872
"108",0.744027201364205,1.44994378376732,1.26414870227332,0.623653025330074,0.760547853223231,1.13985386527435,0.865631303780511,1.37734946357346,0.974247700864146,0.796200618729632,1.1483578176947,1.46462443418946,1.21292626493737,0.743622036888308,1.31672252111303,1.44548531325354,1.06094375886882,0.790068759174898,0.939287915696439,1.32928977314327,0.723554683418011,1.25210357915241,0.834978470185887,0.771268628229074,0.926637561392651,0.92449846461602,0.497291913461058
"109",0.726033294702713,1.41228744226044,1.23000410737476,0.609228621531702,0.748845784152714,1.12548385742956,0.856296250394628,1.36069143762319,0.960436572538218,0.778612490927886,1.11898659589242,1.42505605544528,1.17971176147222,0.722323194453368,1.277827224781,1.40225875335357,1.0292123391091,0.766293933826242,0.910660960256923,1.28863495213747,0.70137340538221,1.2154797787422,0.812375427113036,0.755815833672022,0.912888797678095,0.909680190961385,0.489305149465291
"110",0.722866783972936,1.40604243736305,1.22452171770248,0.606208714611984,0.743972796087073,1.11754021907907,0.849834970909852,1.35194155155274,0.955968294845496,0.78030659055685,1.12482690758748,1.43429146840674,1.18728869124189,0.726818761808818,1.28559840231213,1.41070544972126,1.03415181665095,0.767683723723874,0.906599415112732,1.28064983031595,0.696255072883384,1.20692143602285,0.806977142440871,0.751750454359577,0.908853778132601,0.90543971693073,0.487021069143821
"111",0.71590565635053,1.40159131967422,1.22526303909995,0.603301505015936,0.738237248046571,1.10776581449883,0.841969603612157,1.33856360562464,0.945535629550476,0.768767282225267,1.10626906339941,1.40961399043665,1.16650970919492,0.713361333406978,1.26086240883073,1.38314545980597,1.01498452080438,0.755213254820321,0.896275503626607,1.26780196906473,0.689871386481406,1.1948719502038,0.797905484434666,0.740281434193921,0.893238626035199,0.889689463498113,0.478546458012043
"112",0.700291546716116,1.36864472984692,1.19526123069476,0.589514719293037,0.722418051736086,1.08459187295354,0.824514267641263,1.31178972934372,0.927721736028512,0.757701326683654,1.09252786588812,1.39325488629735,1.15275216573035,0.704486767605145,1.24459252684755,1.36503635288771,1.00133213051033,0.744333041849517,0.88155901464113,1.24627757919782,0.677914598692567,1.1743029335233,0.784315003476965,0.728104108154643,0.878313555782961,0.875275644118135,0.470800103868041
"113",0.696550186865009,1.36042375080934,1.18762212418838,0.58612400615509,0.718662113786147,1.07916668667852,0.82059366253497,1.30439591710021,0.921193003385823,0.748330896120206,1.07644902518513,1.37140507119934,1.13609678242332,0.697295483887917,1.23567288487134,1.35694751743941,0.995074520167273,0.739538554991597,0.875523098116675,1.23760397048058,0.673149474280134,1.1653123176891,0.777549833958168,0.719560529602255,0.866501654189329,0.863525665671056,0.464480239078087
"114",0.677265423672205,1.32434977495007,1.15693523956891,0.571768595473085,0.705475357800375,1.06172746848474,0.808403730961829,1.28477752795891,0.907066275464572,0.736009395037229,1.05818435460063,1.34784266112062,1.11467116905901,0.680147894130957,1.20024295733206,1.31579029372544,0.966425701146322,0.720421587052928,0.858331618754013,1.21544200477936,0.661834931653334,1.14507313049981,0.763371427584368,0.704431675726989,0.846656010002246,0.844019420334265,0.453991992813091
"115",0.678196183627577,1.31651498332189,1.14521149203881,0.567751488815715,0.696894868364952,1.04688685040572,0.796179895652071,1.26610551190264,0.894733310653741,0.728646694000594,1.04929123992714,1.33741368715601,1.10732635330692,0.678355140755531,1.20049141602363,1.31759150733736,0.966962189851694,0.719804995189321,0.855061673877657,1.2098210521626,0.658431711133998,1.13980478428006,0.760499964137265,0.70369262711521,0.848273411841911,0.844534960652086,0.454253402025922
