wave,station,at_w,boat
482,StationMAN-R01,0.313881471,kildir
483,StationMAN-R01,0.310766408,kildir
484,StationMAN-R01,0.301176508,kildir
485,StationMAN-R01,0.302280522,kildir
486,StationMAN-R01,0.29795818,kildir
487,StationMAN-R01,0.295599699,kildir
488,StationMAN-R01,0.293135562,kildir
489,StationMAN-R01,0.28763493,kildir
490,StationMAN-R01,0.286394651,kildir
491,StationMAN-R01,0.28452722,kildir
492,StationMAN-R01,0.279425121,kildir
493,StationMAN-R01,0.275954891,kildir
494,StationMAN-R01,0.274895819,kildir
495,StationMAN-R01,0.271013689,kildir
496,StationMAN-R01,0.270360512,kildir
497,StationMAN-R01,0.26466282,kildir
498,StationMAN-R01,0.264086278,kildir
499,StationMAN-R01,0.260881909,kildir
500,StationMAN-R01,0.255785912,kildir
501,StationMAN-R01,0.255821145,kildir
502,StationMAN-R01,0.251333805,kildir
503,StationMAN-R01,0.247734339,kildir
504,StationMAN-R01,0.24464689,kildir
505,StationMAN-R01,0.241748958,kildir
506,StationMAN-R01,0.241345842,kildir
507,StationMAN-R01,0.238830129,kildir
508,StationMAN-R01,0.231845043,kildir
509,StationMAN-R01,0.233527248,kildir
510,StationMAN-R01,0.22819183,kildir
511,StationMAN-R01,0.226149827,kildir
512,StationMAN-R01,0.227202009,kildir
513,StationMAN-R01,0.220626323,kildir
514,StationMAN-R01,0.218831931,kildir
515,StationMAN-R01,0.216771577,kildir
516,StationMAN-R01,0.213903643,kildir
517,StationMAN-R01,0.213517588,kildir
518,StationMAN-R01,0.208480232,kildir
519,StationMAN-R01,0.209111544,kildir
520,StationMAN-R01,0.2101707,kildir
521,StationMAN-R01,0.203281488,kildir
522,StationMAN-R01,0.200440746,kildir
523,StationMAN-R01,0.199606624,kildir
524,StationMAN-R01,0.20036026,kildir
525,StationMAN-R01,0.196988785,kildir
526,StationMAN-R01,0.195613197,kildir
527,StationMAN-R01,0.194382524,kildir
528,StationMAN-R01,0.187163632,kildir
529,StationMAN-R01,0.187043877,kildir
530,StationMAN-R01,0.186392464,kildir
531,StationMAN-R01,0.184505461,kildir
532,StationMAN-R01,0.182640922,kildir
533,StationMAN-R01,0.179392515,kildir
534,StationMAN-R01,0.177975185,kildir
535,StationMAN-R01,0.177925913,kildir
536,StationMAN-R01,0.17150981,kildir
537,StationMAN-R01,0.173697035,kildir
538,StationMAN-R01,0.172322062,kildir
539,StationMAN-R01,0.170021715,kildir
540,StationMAN-R01,0.167038107,kildir
541,StationMAN-R01,0.165200432,kildir
542,StationMAN-R01,0.167314543,kildir
543,StationMAN-R01,0.161750833,kildir
544,StationMAN-R01,0.160519848,kildir
545,StationMAN-R01,0.159679278,kildir
546,StationMAN-R01,0.158852086,kildir
547,StationMAN-R01,0.158708612,kildir
548,StationMAN-R01,0.156821469,kildir
549,StationMAN-R01,0.152380954,kildir
550,StationMAN-R01,0.152202061,kildir
551,StationMAN-R01,0.148109551,kildir
552,StationMAN-R01,0.146334874,kildir
553,StationMAN-R01,0.148761965,kildir
554,StationMAN-R01,0.145125431,kildir
555,StationMAN-R01,0.144479736,kildir
