wave,station,at_w,boat
409,StationOUT-F01,1.748724404,kildir
410,StationOUT-F01,1.723691898,kildir
411,StationOUT-F01,1.702217898,kildir
412,StationOUT-F01,1.666595581,kildir
413,StationOUT-F01,1.645194766,kildir
414,StationOUT-F01,1.627201919,kildir
415,StationOUT-F01,1.6203196,kildir
416,StationOUT-F01,1.575211262,kildir
417,StationOUT-F01,1.541052826,kildir
418,StationOUT-F01,1.522202553,kildir
419,StationOUT-F01,1.510853237,kildir
420,StationOUT-F01,1.493269366,kildir
421,StationOUT-F01,1.465936992,kildir
422,StationOUT-F01,1.453390993,kildir
423,StationOUT-F01,1.433412964,kildir
424,StationOUT-F01,1.411756953,kildir
425,StationOUT-F01,1.396176401,kildir
426,StationOUT-F01,1.36678099,kildir
427,StationOUT-F01,1.34450853,kildir
428,StationOUT-F01,1.325987448,kildir
429,StationOUT-F01,1.309790272,kildir
430,StationOUT-F01,1.300361355,kildir
431,StationOUT-F01,1.264222776,kildir
432,StationOUT-F01,1.243313233,kildir
433,StationOUT-F01,1.2267912,kildir
434,StationOUT-F01,1.199304745,kildir
435,StationOUT-F01,1.180190891,kildir
436,StationOUT-F01,1.173956448,kildir
437,StationOUT-F01,1.137132941,kildir
438,StationOUT-F01,1.119559345,kildir
439,StationOUT-F01,1.105950756,kildir
440,StationOUT-F01,1.091111576,kildir
441,StationOUT-F01,1.070821642,kildir
442,StationOUT-F01,1.046107536,kildir
443,StationOUT-F01,1.029829523,kildir
444,StationOUT-F01,1.007486842,kildir
445,StationOUT-F01,0.996830561,kildir
446,StationOUT-F01,0.990856876,kildir
447,StationOUT-F01,0.962846492,kildir
448,StationOUT-F01,0.94182737,kildir
449,StationOUT-F01,0.939561908,kildir
450,StationOUT-F01,0.919594765,kildir
451,StationOUT-F01,0.911009276,kildir
452,StationOUT-F01,0.896795212,kildir
453,StationOUT-F01,0.88665021,kildir
454,StationOUT-F01,0.873124402,kildir
455,StationOUT-F01,0.863876288,kildir
456,StationOUT-F01,0.861226176,kildir
457,StationOUT-F01,0.851172925,kildir
458,StationOUT-F01,0.830046217,kildir
459,StationOUT-F01,0.817890579,kildir
460,StationOUT-F01,0.804554413,kildir
461,StationOUT-F01,0.798397955,kildir
462,StationOUT-F01,0.785772916,kildir
463,StationOUT-F01,0.776343702,kildir
464,StationOUT-F01,0.769332705,kildir
465,StationOUT-F01,0.757663332,kildir
466,StationOUT-F01,0.746509592,kildir
467,StationOUT-F01,0.744027201,kildir
468,StationOUT-F01,0.726033295,kildir
469,StationOUT-F01,0.722866784,kildir
470,StationOUT-F01,0.715905656,kildir
471,StationOUT-F01,0.700291547,kildir
472,StationOUT-F01,0.696550187,kildir
473,StationOUT-F01,0.677265424,kildir
474,StationOUT-F01,0.678196184,kildir
475,StationOUT-F01,0.665089465,kildir
476,StationOUT-F01,0.655841407,kildir
477,StationOUT-F01,0.65219761,kildir
478,StationOUT-F01,0.640577032,kildir
479,StationOUT-F01,0.637050018,kildir
480,StationOUT-F01,0.627843482,kildir
481,StationOUT-F01,0.621405303,kildir
482,StationOUT-F01,0.615960243,kildir
483,StationOUT-F01,0.605273071,kildir
484,StationOUT-F01,0.605637406,kildir
485,StationOUT-F01,0.591374423,kildir
486,StationOUT-F01,0.59090311,kildir
487,StationOUT-F01,0.58520588,kildir
488,StationOUT-F01,0.578694571,kildir
489,StationOUT-F01,0.570385493,kildir
490,StationOUT-F01,0.560617848,kildir
491,StationOUT-F01,0.558065135,kildir
492,StationOUT-F01,0.550211999,kildir
493,StationOUT-F01,0.546586025,kildir
494,StationOUT-F01,0.540372046,kildir
495,StationOUT-F01,0.532619401,kildir
496,StationOUT-F01,0.52949337,kildir
497,StationOUT-F01,0.523833813,kildir
498,StationOUT-F01,0.516685694,kildir
499,StationOUT-F01,0.509664736,kildir
500,StationOUT-F01,0.50469694,kildir
501,StationOUT-F01,0.500371548,kildir
502,StationOUT-F01,0.494796866,kildir
503,StationOUT-F01,0.48760817,kildir
504,StationOUT-F01,0.483768287,kildir
