"","X","X1.25","X1.25","X1.25","X0.75","X1","X1","X0.5","X0.75","X0.75","X1.75","X0.75","X1","X1.5","X1.25","X1.25","X0.75","X1","X1.5","X1.25","X1","X1.25","X0.75","X1","X1.5","X1.25","X1"
"1","wavelength","StationMAN-F05","StationMAN-F18","StationMAN-F21","StationMAN-F22","StationMAN-R21","StationMAN-R22","StationMAN-R23","StationMAN-R24","StationMAN-R25","StationMAN-F0","StationMAN-F03.5","StationMAN-F08","StationMAN-F14","StationMAN-F16","StationMAN-R11.5","StationMAN-R12B","StationMAN-R13","StationMAN-R15","StationMAN-R02","StationMAN-R04","StationOUT-R07","StationOUT-R08","StationOUT-R09","StationOUT-R10","StationMAN-R06","StationMAN-R07"
"12","443.3","0.566461066977277","1.1104292592161","0.990002953041854","0.81677403436818","1.8214897497402","1.23278062936388","1.22163990147883","0.571281432161581","0.467226569912347","0.92578480103247","0.873411069233357","1.3380347276944","0.836490329207193","1.34374016899589","1.25176858517416","1.6663624835155","0.963353944282662","0.451308195089846","0.954775025891523","0.977372136138659","0.909330515072018","1.19287510965674","1.12658217431285","0.606095185233847","1.00511983187703","0.836672000253784"
"13","448.6","0.528283911657946","1.03559451692524","0.922610235256802","0.763971110904861","1.69972071838476","1.14990982955747","1.14214252525271","0.535506089790657","0.438922740726136","0.861302446206814","0.813701220242089","1.24449119811153","0.782099399548338","1.25589943886125","1.16460604552378","1.55583807870318","0.899716951984333","0.420572899414455","0.889572983858627","0.911489242508235","0.847924530623427","1.11738569852085","1.05146705529939","0.568788018103128","0.9372807220792","0.775407500724808"
"14","453.4","0.494708356565743","0.967642448631399","0.863869072680127","0.717700072631498","1.59213663452533","1.07652260961088","1.07434695861702","0.50562702385597","0.414558533190451","0.806477056352401","0.761146460906347","1.16223326534582","0.734445746054697","1.17780096616229","1.08781104597833","1.45728119607536","0.838221496122149","0.395598430334639","0.828476695736722","0.85387059383718","0.792327550132739","1.04630668905451","0.981373041374511","0.536411047321218","0.8770085682347","0.725350089757801"
"15","458.2","0.467067478639227","0.906766680843164","0.811379466973843","0.676175458365053","1.49126331279064","1.00867823374686","1.00852412959637","0.477968500398315","0.392718374629995","0.755297554332413","0.712355323133438","1.0889953658452","0.690227184263161","1.10008826733539","1.01759538506318","1.36709575498616","0.785794836567692","0.371619219946172","0.77534128086223","0.799732878528884","0.740884801455677","0.977888893132663","0.922430607565962","0.503365606491122","0.819119971968177","0.677105716367705"
"16","462.9","0.43998379213576","0.851359225342655","0.76006597358433","0.63688158390119","1.40047090734905","0.946870898111102","0.946278011759427","0.452523979442432","0.370831121382589","0.707759989700233","0.666818354425586","1.01891153765787","0.649995833224302","1.03202773474603","0.952541254685449","1.28497572080702","0.735433640464483","0.351014759045153","0.725795744487629","0.749457116295117","0.69338776721045","0.919791372251912","0.862367599203838","0.475144529572115","0.767580404638599","0.63204717291043"
"17","467.6","0.414589091538283","0.799128153674009","0.714228878068587","0.597831174858668","1.31683608514093","0.889059815102665","0.891856255255024","0.428368481954391","0.350849279501463","0.664752211136492","0.623878432326257","0.955181991285045","0.611768420183945","0.970686321152722","0.893292604439019","1.20730384742571","0.689806966344138","0.329533178000781","0.680429899630854","0.703979848109199","0.651711346109478","0.864854332361799","0.804897257187876","0.448156228915018","0.720580806600144","0.592962013139259"
"18","472.7","0.390272619728472","0.753075300391958","0.669762618441423","0.562352625759031","1.23776565729719","0.834719129741732","0.838182647543612","0.406393162823432","0.33080677911981","0.623671052115472","0.58594581737452","0.896775088779238","0.57506191020416","0.910311787057851","0.83884051081707","1.13663857973208","0.64703202114635","0.309369727960039","0.63833147600163","0.65998037461904","0.610470618203245","0.810191161941429","0.758018685889017","0.421659869453325","0.676354262132404","0.554672880261836"
"19","478","0.366452221076632","0.710061098916492","0.629407147029399","0.529232704434127","1.16507639500899","0.784815360648982","0.787547335375767","0.384978931369122","0.312428467451713","0.585225433466475","0.550456618441152","0.843408990659524","0.540698459324576","0.855007398111617","0.78789024529461","1.0723534173594","0.608124612111319","0.291197598953272","0.600326367164262","0.618729232899943","0.572255168581616","0.762108858072927","0.711749849956272","0.397302853429203","0.635661027650957","0.51861455230518"
"20","483.1","0.346176015771012","0.671178025054264","0.593097221485696","0.50011369905507","1.09780721116161","0.73963252814025","0.743270261926056","0.367031169715813","0.297283383078648","0.549934530312817","0.516851534843625","0.792401132493023","0.510445970155184","0.808499591991099","0.739834571013292","1.00942369061057","0.572109069000497","0.275755075084834","0.563668630003174","0.583284677173882","0.538318591663716","0.718532191575384","0.669157688484065","0.375848026710453","0.598787180055656","0.487402746756532"
"21","488.1","0.327546985919009","0.633315540929659","0.561165571626501","0.474368787493969","1.03530247197838","0.698394125603926","0.703710488412983","0.350539273620405","0.284329020277993","0.520150771139249","0.488139441949302","0.748089916668198","0.482909999673426","0.76439101241606","0.698068324933909","0.952873952953754","0.538585722848614","0.262401940306111","0.532144888916134","0.550247608712904","0.506916036969049","0.678841269534725","0.633488670872212","0.356718212984789","0.564789716997899","0.459670017653423"
