,X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
1,wavelength,MAN-F21,MAN-F22,MAN-R22,MAN-R23,MAN-R25,MAN-F0,MAN-F03,MAN-F08,MAN-F14,MAN-R12,MAN-R13,MAN-R15,OUT-R07,OUT-R08,OUT-R09,MAN-R06,MAN-R07
33,548.5,0.324620429,0.261729444,0.405815699,0.274932222,0.170942399,0.266964789,0.177060903,0.423609651,0.274768471,0.769270215,0.238888899,0.16170334,0.434557793,0.206974006,0.316617932,0.315039821,0.278730963
34,553.6,0.308430459,0.24802332,0.386219808,0.260231253,0.163314362,0.254197202,0.168201019,0.402981409,0.261035982,0.741988935,0.229315559,0.153826649,0.415031271,0.195670881,0.301825566,0.300345823,0.265394495
35,558.7,0.292844003,0.235121172,0.367611411,0.246287577,0.155658122,0.241853478,0.159723236,0.383810451,0.24812897,0.716330746,0.219144114,0.146095719,0.397101414,0.185296557,0.287203602,0.286648179,0.252143897
36,563.9,0.278457633,0.223043743,0.34997812,0.233129569,0.148354045,0.230413571,0.15155625,0.365837899,0.235644549,0.692133151,0.20998501,0.1386353,0.379978119,0.175104443,0.27303207,0.273649148,0.239653031
37,569,0.265495977,0.21247132,0.333549866,0.221514944,0.142522809,0.219993831,0.144362655,0.348746309,0.224544565,0.669452169,0.201697226,0.13212069,0.364060034,0.166899532,0.261348575,0.261150739,0.228515001
38,573.4,0.254407675,0.203346127,0.318745725,0.211127584,0.137469673,0.210772952,0.138426336,0.333101757,0.214617774,0.64892972,0.194232604,0.12643912,0.349866872,0.159640833,0.250868237,0.250400549,0.218347376
39,578.1,0.244909637,0.196383346,0.305748185,0.202846767,0.133524909,0.203027957,0.133994851,0.319982883,0.206160969,0.630819907,0.188223866,0.122254792,0.337370834,0.153761257,0.241278847,0.240743774,0.209616493
40,582.7,0.235791314,0.189503228,0.292834136,0.194440158,0.129324741,0.195516974,0.129072696,0.306653304,0.197644586,0.612825939,0.182135585,0.117730105,0.324803237,0.148459406,0.232528183,0.231069205,0.201672241
41,587.1,0.227310491,0.182779426,0.281018217,0.18636876,0.125430141,0.188666027,0.124606812,0.294000778,0.189630835,0.59574339,0.176272435,0.113785798,0.313160182,0.143356155,0.224653121,0.221990398,0.194142145
42,591.5,0.217755821,0.17514971,0.268069642,0.177455649,0.120286285,0.180766725,0.119243968,0.280815646,0.180650694,0.578298587,0.169423651,0.10841176,0.3013701,0.136521243,0.215184706,0.212025112,0.185580269
43,596.1,0.209122404,0.168439022,0.256476279,0.169654806,0.116217156,0.174069878,0.114358641,0.268883725,0.172749733,0.562031587,0.16344508,0.104219609,0.29001357,0.130927621,0.206639352,0.202919164,0.178352006
