,X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
1,wavelength,MAN-F21,MAN-F22,MAN-R22,MAN-R23,MAN-R25,MAN-F0,MAN-F03.5,MAN-F08,MAN-F14,MAN-R12B,MAN-R13,MAN-R15,OUT-R07,OUT-R08,OUT-R09,MAN-R06,MAN-R07
46,609,0.168911857,0.163055807,0.213323933,0.155806887,0.105261686,0.150985072,0.108841065,0.240631612,0.130343755,0.468354916,0.217896316,0.084454239,0.267312208,0.282872246,0.210492098,0.189399135,0.161106022
47,613.7,0.166706865,0.161188807,0.207588857,0.152206972,0.105766779,0.148856093,0.108301367,0.232468229,0.128212877,0.45568413,0.211917368,0.08402766,0.258549342,0.2761332,0.206270523,0.183689639,0.156111908
48,618.7,0.162956051,0.157866007,0.200586448,0.14754855,0.105172542,0.145361622,0.106819865,0.222728522,0.125137059,0.441703232,0.204645194,0.082272187,0.248994847,0.267556291,0.20025732,0.177140145,0.150288565
49,623.4,0.159545847,0.154803224,0.194164745,0.143514987,0.104769521,0.142333309,0.105142479,0.214204306,0.122146812,0.4290056,0.198005197,0.080817176,0.240400789,0.259832169,0.193999381,0.170993455,0.145527363
50,628,0.155648914,0.151222394,0.18749434,0.138990973,0.103606542,0.139188889,0.103346381,0.205488858,0.118799453,0.41649975,0.191318552,0.079124073,0.231399299,0.25236051,0.187924524,0.164663864,0.140182415
51,632.7,0.151901506,0.147673177,0.181047221,0.134693135,0.102527959,0.136137696,0.101563193,0.197235851,0.115305276,0.404683446,0.185010339,0.077324642,0.222913842,0.244665249,0.182051339,0.158799754,0.135379867
52,637.2,0.147675881,0.143759229,0.17446915,0.130204822,0.101228834,0.133012628,0.099462366,0.188695144,0.111828286,0.393252798,0.178904121,0.07546504,0.215062932,0.236883538,0.17611077,0.153075417,0.13083875
53,641.8,0.143635529,0.139781705,0.167843017,0.125492852,0.09960458,0.129899773,0.097019616,0.180715642,0.108021054,0.382474888,0.172847173,0.073312665,0.20696679,0.229878193,0.170008142,0.147035086,0.126149349
54,646.6,0.141799874,0.138220981,0.163584065,0.12299848,0.100383499,0.128254199,0.096307541,0.174252758,0.105923465,0.373122204,0.168584238,0.072891534,0.200127653,0.224421184,0.165783841,0.142393145,0.122542215
55,651.2,0.143687047,0.140532968,0.162212697,0.123200029,0.103710996,0.129077278,0.097011896,0.169441986,0.106010627,0.365237859,0.165552556,0.074597438,0.195126359,0.220838528,0.161934854,0.138994715,0.120218763
56,656,0.151297444,0.148404164,0.165322802,0.127700641,0.11125567,0.133101071,0.1010769,0.167669091,0.109342268,0.359243704,0.164320248,0.078933926,0.191863636,0.221125355,0.16328157,0.137840549,0.120044932
57,660.6,0.164233799,0.161399588,0.172734957,0.13663316,0.123283715,0.140783713,0.108609026,0.168685606,0.115968416,0.355688953,0.165354893,0.086083205,0.190439972,0.224546761,0.168236189,0.138898443,0.121368809
58,665,0.178619451,0.176301165,0.181522013,0.146864401,0.136257607,0.149103202,0.117454598,0.170654907,0.123627714,0.352868132,0.167095604,0.093572263,0.190200941,0.228695093,0.175253212,0.141070139,0.123730014
59,669.6,0.187823011,0.185984692,0.186488693,0.153544073,0.1454885,0.15459609,0.122683192,0.170963598,0.128682597,0.34935483,0.167246118,0.098373795,0.188808722,0.230471796,0.177779598,0.141457695,0.125026997
60,674,0.187442426,0.186092441,0.18433065,0.152640405,0.147186315,0.153957428,0.123091642,0.167452843,0.12788445,0.343592045,0.164895335,0.098488118,0.18498008,0.227571061,0.176110835,0.138779171,0.123147164
61,678.3,0.177104213,0.175546863,0.174326999,0.143522709,0.140509046,0.147012888,0.117257277,0.159450304,0.121262282,0.334334006,0.159475181,0.093111109,0.177987423,0.219363658,0.167704809,0.132942481,0.117975343
62,682.7,0.158735868,0.157230355,0.158298054,0.128940521,0.126667136,0.134998362,0.106818869,0.148008536,0.110159603,0.322354076,0.151503334,0.084613805,0.169226013,0.20612781,0.153623907,0.124659917,0.111119715
63,686.6,0.137178215,0.135531163,0.139516106,0.111683605,0.109218489,0.120583894,0.094402873,0.135083508,0.096690775,0.308894641,0.141943657,0.074308874,0.158684552,0.190551312,0.138039239,0.114963331,0.102672991
64,690.8,0.117959545,0.115938467,0.122205935,0.095642444,0.092616989,0.107216211,0.082719777,0.122750285,0.084092166,0.295617363,0.132735763,0.064790499,0.148695911,0.17538311,0.123481392,0.106383169,0.094716665
65,694.7,0.102229757,0.100015202,0.107795192,0.082895258,0.079318584,0.095877965,0.072549618,0.112114826,0.07337401,0.283853243,0.124478526,0.056682669,0.140255378,0.161804531,0.109784511,0.098634924,0.088670833
66,698.4,0.090640146,0.08836898,0.096371642,0.072527837,0.068740583,0.08716928,0.064289086,0.102958874,0.064172241,0.273545488,0.117454351,0.049922286,0.132792085,0.151258277,0.098465939,0.091747099,0.083250229
67,702.3,0.082899481,0.080565123,0.088334254,0.065166303,0.062234929,0.081710321,0.058466303,0.096301838,0.05732692,0.26428326,0.112510898,0.045761033,0.126833853,0.143420867,0.091537407,0.086026382,0.079856457
68,706,0.077729243,0.075900269,0.082454271,0.059737976,0.058117398,0.078462342,0.053687682,0.090490987,0.051722072,0.256082243,0.107895316,0.042313875,0.121961487,0.13714674,0.085513942,0.082037008,0.077665552
69,709.7,0.072813086,0.071319289,0.076935306,0.054891298,0.054202121,0.076208204,0.048998514,0.085162226,0.046720964,0.247251206,0.104103636,0.038794196,0.1175674,0.132039555,0.080113883,0.078050215,0.076803546
70,713.2,0.068174857,0.066809031,0.071586616,0.049682996,0.050115825,0.072990805,0.043711326,0.079549376,0.040157454,0.239243607,0.099081756,0.035050947,0.112213859,0.127204372,0.075417284,0.07323684,0.074178355
71,716.8,0.066115615,0.064909109,0.068991479,0.046750997,0.048629115,0.072856845,0.040256284,0.076147738,0.035583451,0.23220968,0.097034305,0.033429244,0.109455777,0.123769629,0.073439359,0.071074443,0.073849827
72,720.1,0.062539213,0.062211824,0.064995005,0.042762301,0.045798852,0.071297741,0.035389466,0.07198583,0.029975997,0.224739939,0.094429739,0.030628815,0.106340353,0.119730754,0.069131937,0.068045375,0.07360716
73,723.7,0.058257044,0.058257831,0.060436352,0.036996797,0.042417103,0.069880579,0.030265507,0.067629807,0.022889157,0.216287256,0.091412684,0.028437394,0.101485682,0.116152134,0.064559469,0.064333518,0.071581611
74,726.8,0.055529472,0.055512025,0.056549503,0.033406061,0.040074776,0.067678109,0.024646008,0.063296563,0.016280889,0.208889024,0.087940554,0.024900549,0.097676726,0.113143313,0.06409838,0.060792261,0.069699937
75,730,0.048127932,0.049374548,0.050202269,0.027469178,0.033672197,0.060771804,0.016497071,0.056349244,0.006956218,0.198802776,0.080567074,0.017995051,0.091183118,0.105548585,0.059568317,0.054330786,0.064058371
76,733.4,0.042629454,0.044334726,0.044414768,0.022169642,0.029102947,0.054956889,0.009968546,0.050916327,-0.000469407,0.191510537,0.076110962,0.013101891,0.085402619,0.101177882,0.057357309,0.04937841,0.057964873
77,736.7,0.039791803,0.040679902,0.041134626,0.019555531,0.026690627,0.050330997,0.006783022,0.047269753,-0.005225761,0.186353788,0.072133216,0.01048414,0.080364584,0.096810139,0.059665868,0.045262668,0.052131159
78,739.3,0.038998361,0.040646365,0.040882621,0.018971874,0.026760406,0.047262279,0.007029737,0.046467633,-0.005700907,0.185233257,0.071178728,0.009928177,0.078921831,0.094276274,0.064683213,0.045639152,0.04914732
79,742.4,0.038432559,0.040824261,0.041245268,0.021120864,0.027957279,0.046385239,0.008756713,0.047690772,-0.003156225,0.184463967,0.070962551,0.011083248,0.078361869,0.09447307,0.069923524,0.046399225,0.048343279
80,745,0.038489519,0.039755461,0.040010034,0.020534364,0.027422008,0.044276736,0.010468021,0.047257974,-0.002335499,0.1819313,0.069753581,0.011639647,0.074942315,0.09213045,0.074718934,0.044248793,0.044985864
