X,X1.25,X0.75,X1,X0.5,X0.75,X1.75,X0.75,X1,X1.5,X0.75,X1,X1.5,X1.25,X0.75,X1,X1.25,X1
wavelength,StationMAN-F21,StationMAN-F22,StationMAN-R22,StationMAN-R23,StationMAN-R25,StationMAN-F0,StationMAN-F03.5,StationMAN-F08,StationMAN-F14,StationMAN-R12B,StationMAN-R13,StationMAN-R15,StationOUT-R07,StationOUT-R08,StationOUT-R09,StationMAN-R06,StationMAN-R07
573.4,0.265916805,0.219321843,0.313708636,0.323348893,0.14726819,0.251597735,0.235616936,0.33988806,0.245100165,0.623295753,0.26612536,0.131311248,0.349866872,0.365215557,0.315079289,0.266292123,0.220141469
578.1,0.256771224,0.212412227,0.301261775,0.311064239,0.143273311,0.241740321,0.22686829,0.326125943,0.236436934,0.604618908,0.256406419,0.126769592,0.337370834,0.353211951,0.303173348,0.255734453,0.211410583
582.7,0.248123906,0.205373581,0.289047705,0.29926367,0.139342611,0.23261102,0.218671025,0.312718949,0.227687035,0.585994162,0.247085689,0.122049416,0.324803237,0.341121129,0.292108302,0.245423654,0.203463978
587.1,0.239966932,0.198527608,0.277617055,0.288059154,0.13540426,0.224271918,0.210823324,0.299867484,0.21937375,0.568690287,0.238219905,0.117812978,0.313160182,0.32973889,0.281891765,0.235530507,0.195887625
591.5,0.230706416,0.191014244,0.265362372,0.275700042,0.130338917,0.215062426,0.202307158,0.286448963,0.210151934,0.551036799,0.228910736,0.112433048,0.3013701,0.317649323,0.270196537,0.224831309,0.187435191
596.1,0.222391883,0.184124847,0.254049162,0.264656365,0.126238751,0.206875953,0.194533451,0.274134647,0.201874818,0.534409422,0.220485537,0.107888368,0.29001357,0.307208455,0.260057453,0.215126971,0.180111713
600.6,0.215256267,0.178334479,0.244389447,0.255539243,0.123299146,0.19946253,0.18788576,0.263117504,0.194838066,0.519302678,0.21303152,0.104221903,0.279767507,0.297068505,0.250751405,0.206905391,0.173447899
604.8,0.210282533,0.174980666,0.237114682,0.248283997,0.121969879,0.193825368,0.182879599,0.253998961,0.190013568,0.506766519,0.207305371,0.102551971,0.271527609,0.288863487,0.24359859,0.20039341,0.168327433
609,0.202284916,0.171570614,0.230035129,0.242299394,0.119200258,0.188993431,0.176114854,0.245148176,0.184448308,0.492341697,0.201598168,0.097941439,0.267312208,0.279329991,0.237871379,0.191121684,0.16352236
613.7,0.198516244,0.169088901,0.223682321,0.236693752,0.119410652,0.183695743,0.171805667,0.23657346,0.180947007,0.479589239,0.195939563,0.097327796,0.258549342,0.272626887,0.230786522,0.185277743,0.158452568
618.7,0.193384998,0.165477871,0.216249476,0.229702523,0.118487081,0.177513305,0.166257884,0.226630441,0.175986004,0.465537105,0.189102907,0.09539919,0.248994847,0.264247103,0.222882128,0.178182037,0.15260521
623.4,0.188725874,0.162508515,0.209428925,0.223487091,0.117846383,0.172079967,0.161154896,0.217783337,0.171504471,0.45302872,0.18276012,0.093406913,0.240400789,0.256231774,0.215488581,0.171507215,0.147835933
628,0.183735339,0.158864639,0.202337995,0.217241378,0.116726709,0.166241314,0.156046013,0.208755531,0.166915304,0.440825972,0.176471642,0.091559261,0.231399299,0.248523071,0.207742788,0.165337389,0.142483757
632.7,0.179001296,0.155091467,0.195540725,0.211030655,0.115566046,0.160797348,0.150665336,0.200457902,0.162157286,0.428987392,0.170849638,0.089419069,0.222913842,0.241287934,0.199889381,0.159448884,0.137679907
637.2,0.173839749,0.151347301,0.188666856,0.204355211,0.114078126,0.155682331,0.145612677,0.191866106,0.157463947,0.417795089,0.164949723,0.08740202,0.215062932,0.233479269,0.193336124,0.153276275,0.133143303
641.8,0.168854146,0.147430335,0.181600703,0.198052378,0.112613362,0.150291336,0.140275587,0.183587228,0.152967839,0.407269919,0.159204394,0.085118237,0.20696679,0.226614485,0.185972879,0.147131344,0.128460169
646.6,0.166006109,0.145480106,0.176824993,0.193977963,0.113015884,0.146355868,0.13634297,0.176879819,0.150190039,0.398225344,0.155242496,0.084569453,0.200127653,0.221301116,0.180857716,0.142633215,0.124789935
651.2,0.166395297,0.147199535,0.174793739,0.193121376,0.116096449,0.144502135,0.134275116,0.171807328,0.1502019,0.390488225,0.152348752,0.08588303,0.195126359,0.217488018,0.177595493,0.139366745,0.122453218
656,0.171500919,0.153746762,0.176869112,0.197350808,0.122948016,0.145012003,0.134195255,0.169181805,0.154024826,0.38486459,0.15109967,0.089986771,0.191863636,0.216767938,0.177066741,0.137750288,0.122113954
660.6,0.181959513,0.164911936,0.183083688,0.207039291,0.134004288,0.148156753,0.136877722,0.169450483,0.162081403,0.381811766,0.15196763,0.096892631,0.190439972,0.219588153,0.179100391,0.138843351,0.123366251
665,0.193396911,0.177379827,0.1905293,0.21776131,0.146228282,0.152256474,0.139924437,0.170612397,0.171254523,0.379299374,0.153535624,0.104302417,0.190200941,0.222846887,0.18249982,0.140658973,0.125631617
669.6,0.200562936,0.185748627,0.194719183,0.224625158,0.154766221,0.154062931,0.141845824,0.170334462,0.177210259,0.376078938,0.153702353,0.108844336,0.188808722,0.22379922,0.183366742,0.140580557,0.126904333
674,0.199685627,0.185450916,0.192510463,0.223670242,0.156592138,0.151755096,0.139887964,0.166522317,0.17639083,0.370617624,0.151492655,0.109036031,0.18498008,0.221179305,0.180042358,0.137902005,0.125065235
678.3,0.190208176,0.175946369,0.182855408,0.212573331,0.150688068,0.144956293,0.133734056,0.158867275,0.168261498,0.360943942,0.146331496,0.103702159,0.177987423,0.213703839,0.173037,0.132132136,0.120034677
682.7,0.173503425,0.159763335,0.16778422,0.19377702,0.13821498,0.135041635,0.124910489,0.148245591,0.154168228,0.348104725,0.138267041,0.095169597,0.169226013,0.201250956,0.162139786,0.123527761,0.113351526
