ID,Lambda,rho,Target,Background
001,1013.6,-3141.3,Rock,NA
001,1014.8,-1057,Rock,NA
001,1016,1070.1,Rock,NA
001,1017.2,3264.45,Rock,NA
001,1018.4,2226.8,Rock,NA
001,1019.6,3419.4,Rock,NA
001,1020.8,20,Rock,NA
001,1022,-20,Rock,NA
001,1023.2,0,Rock,NA
001,1024.4,1274.8,Rock,NA
001,1025.6,20,Rock,NA
001,1026.8,-2722.5,Rock,NA
001,1028,0,Rock,NA
001,1029.2,60,Rock,NA
001,1030.4,100,Rock,NA
001,1031.6,4655.85,Rock,NA
001,1032.8,4811.25,Rock,NA
001,1033.9,0,Rock,NA
001,1035.1,-20,Rock,NA
001,1036.3,0,Rock,NA
001,1037.5,7299.2,Rock,NA
001,1038.6,7513.4,Rock,NA
001,1039.8,5805.6,Rock,NA
001,1041,-60,Rock,NA
001,1042.2,-20,Rock,NA
001,1043.3,4221.8,Rock,NA
001,1044.5,6511.95,Rock,NA
001,1045.6,4467.9,Rock,NA
001,1046.8,2294.15,Rock,NA
001,1048,-4700.6,Rock,NA
001,1049.1,2417.15,Rock,NA
001,1050.3,4959.4,Rock,NA
001,1051.4,5090.8,Rock,NA
001,1052.6,10386.8,Rock,NA
001,1053.7,40,Rock,NA
001,1054.9,10,Rock,NA
001,1056,2795.15,Rock,NA
001,1057.1,8605.35,Rock,NA
001,1058.3,-10,Rock,NA
001,1059.4,9009.3,Rock,NA
001,1060.5,12351.8,Rock,NA
001,1061.7,20,Rock,NA
001,1062.8,20,Rock,NA
001,1063.9,20,Rock,NA
001,1065.1,-80,Rock,NA
001,1066.2,-80,Rock,NA
001,1067.3,21567.6,Rock,NA
001,1068.4,10,Rock,NA
001,1069.5,40,Rock,NA
001,1070.6,0,Rock,NA
001,1071.7,-4075.85,Rock,NA
001,1072.8,0,Rock,NA
002,338.3,0.5,Touffue,NA
002,339.9,2,Touffue,NA
002,341.6,0.95,Touffue,NA
002,343.2,1.33,Touffue,NA
002,344.9,0.44,Touffue,NA
002,346.5,0,Touffue,NA
002,348.2,0,Touffue,NA
002,349.9,0.36,Touffue,NA
002,351.5,0.98,Touffue,NA
002,353.1,0.91,Touffue,NA
002,354.8,1.11,Touffue,NA
002,356.4,1.04,Touffue,NA
002,358.1,0.74,Touffue,NA
002,359.7,1.35,Touffue,NA
002,361.4,1.84,Touffue,NA
002,363,0.91,Touffue,NA
002,364.6,0.79,Touffue,NA
002,366.3,0.97,Touffue,NA
002,367.9,0.99,Touffue,NA
002,369.5,1.37,Touffue,NA
002,371.2,0.65,Touffue,NA
002,372.8,0.52,Touffue,NA
002,374.4,0.5,Touffue,NA
002,376.1,0.98,Touffue,NA
002,377.7,0.78,Touffue,NA
002,379.3,1,Touffue,NA
002,381,0.91,Touffue,NA
002,382.6,0.79,Touffue,NA
002,384.2,0.77,Touffue,NA
002,385.8,0.81,Touffue,NA
002,387.5,0.67,Touffue,NA
002,389.1,0.55,Touffue,NA
002,390.7,0.62,Touffue,NA
002,392.3,0.68,Touffue,NA
002,393.9,0.69,Touffue,NA
002,395.5,0.76,Touffue,NA
002,397.2,0.75,Touffue,NA
002,398.8,0.65,Touffue,NA
002,400.4,0.66,Touffue,NA
002,402,0.57,Touffue,NA
002,403.6,0.53,Touffue,NA
002,405.2,0.58,Touffue,NA
002,406.9,0.59,Touffue,NA
002,408.5,0.56,Touffue,NA
002,410.1,0.54,Touffue,NA
002,411.7,0.56,Touffue,NA
002,413.3,0.56,Touffue,NA
002,414.9,0.54,Touffue,NA
002,416.5,0.53,Touffue,NA
002,418.1,0.5,Touffue,NA
002,419.7,0.53,Touffue,NA
002,421.3,0.52,Touffue,NA
002,422.9,0.51,Touffue,NA
002,424.5,0.51,Touffue,NA
002,426.1,0.49,Touffue,NA
002,427.7,0.48,Touffue,NA
002,429.4,0.5,Touffue,NA
002,431,0.53,Touffue,NA
002,432.5,0.49,Touffue,NA
002,434.1,0.47,Touffue,NA
002,435.8,0.48,Touffue,NA
002,437.3,0.47,Touffue,NA
002,438.9,0.48,Touffue,NA
002,440.5,0.48,Touffue,NA
002,442.1,0.49,Touffue,NA
002,443.7,0.49,Touffue,NA
002,445.3,0.5,Touffue,NA
002,446.9,0.51,Touffue,NA
002,448.5,0.52,Touffue,NA
002,450.1,0.53,Touffue,NA
002,451.7,0.53,Touffue,NA
002,453.3,0.54,Touffue,NA
002,454.9,0.53,Touffue,NA
002,456.5,0.54,Touffue,NA
002,458.1,0.54,Touffue,NA
002,459.6,0.55,Touffue,NA
002,461.2,0.56,Touffue,NA
002,462.8,0.56,Touffue,NA
002,464.4,0.56,Touffue,NA
002,466,0.57,Touffue,NA
002,467.6,0.58,Touffue,NA
002,469.2,0.59,Touffue,NA
002,470.8,0.6,Touffue,NA
002,472.4,0.6,Touffue,NA
002,473.9,0.62,Touffue,NA
002,475.5,0.63,Touffue,NA
002,477.1,0.65,Touffue,NA
002,478.7,0.66,Touffue,NA
002,480.3,0.67,Touffue,NA
002,481.8,0.67,Touffue,NA
002,483.4,0.68,Touffue,NA
002,485,0.69,Touffue,NA
002,486.6,0.69,Touffue,NA
002,488.2,0.69,Touffue,NA
002,489.7,0.69,Touffue,NA
002,491.3,0.7,Touffue,NA
002,492.9,0.7,Touffue,NA
002,494.5,0.71,Touffue,NA
002,496,0.71,Touffue,NA
002,497.6,0.72,Touffue,NA
002,499.2,0.73,Touffue,NA
002,500.8,0.74,Touffue,NA
