"station_id","sample_id","project","station","boat","date","time","datetime","lat","lon","station_waterbody","water_depth","SZ","FU","sampling_type","depth","sal","Chl","PHAEO","SPM","PIM","DOC","TOC","DN","TN","NO2","NO3","PO4","SiO4","pico_PE_CYAN","nano_PE_CYAN","picoeukaryote","nanoeukaryotes","pico_PC_CYAN","nano_PC_CYAN","LNA","HNA","Chl_c3","Chlide_a","Mg_DVP","Chl_c2","Chl_c1","Me.chlide_a","Perid","Chl_a_deg","Phide_a","Chl_a_deg.1","But.fuco","Fuco","Neo","Pras","Viola","Hex.fuco","Diadino","Anth","Allo","Diato","Zea","Lut","Croco","Chl_b","Chl_a_deg.2","Chl_a_allom","MV_Chl_a","Tot_Chl_a","Phytin_a","beta.epi.Car","beta.beta.Car"
"wiseman-MAN-R21-2019-08-19T18:30:00Z","wiseman-21","wiseman","MAN-R21","saucier","2019-08-19","19:13:00","2019-08-19T19:13:00Z",49.0722,-68.29299,"ocean",2.6,2.5,NA,"surface",0,16.1081,7.099563636,3.033385697,6.288,4.385,3.407,3.485333333,0.123833333,0.146266667,0.096,2.517,0.174720116,32.84571506,13756,1150,19594,5761,239,89,514417,1545083,0,0.138411115,0.126703447,0.747761121,0.135396451,NA,0.537925763,NA,0.150633688,NA,0.0392723,1.093722929,0.322008291,0.109544882,0.179623525,0,0.698267008,NA,1.113140127,0.072588499,0.028844024,0.058328199,0.100334078,2.625596485,NA,NA,9.556012417,9.694423532,0.193067414,0.060863516,0.325068853
"wiseman-MAN-R25-2019-08-19T14:45:00Z","wiseman-22","wiseman","MAN-R25","saucier","2019-08-19","14:45:00","2019-08-19T14:45:00Z",49.009,-68.28663,"ocean",95,3.25,NA,"subsurface",5,27.5069,9.244065801,0.59581839,4.556,3.266,1.453666667,1.578,0.179233333,0.193166667,0.121,2.767,0.328836624,5.336684591,39,67,14639,4344,578,17,273733,747733,0.053329216,0.527934699,0.100605036,1.037165071,0.369187912,NA,0.08148131,NA,0.260669517,NA,0.025367687,5.008865229,0.027867724,0.035426,0.03525432,0.027306746,0.42042904,NA,0.125812546,0.032070419,0.009711689,0.011015066,0.011186757,0.175412605,NA,NA,8.200529194,8.728463893,0.173407193,0,0.206009326
"wiseman-OUT-R15-2019-08-19T16:02:00Z","wiseman-23","wiseman","OUT-R15","kildir","2019-08-19","16:02:00","2019-08-19T16:02:00Z",48.9551,-68.4398,"ocean",171,5.25,15,"surface",0,27.5399,1.796335931,0.507333707,18.27933333,15.14666667,1.36,1.531333333,0.093386667,0.10364,0.029,0.051,0.056481779,0.301690755,106,33,11850,5089,61,11,544417,1486056,0.037611152,0.057284798,0.029430818,0.275318312,0.050148177,NA,0.197674957,NA,0.106218059,NA,0.01538355,0.91776539,0.029875283,0.047371182,0.034702386,0.028716582,0.229648706,NA,0.054214055,0.02361941,0.023903368,0,0.007132283,0.189101052,NA,NA,2.036420663,2.093705461,0.03316507,0,0.038519509
"wiseman-OUT-R15-2019-08-19T16:02:00Z","wiseman-24","wiseman","OUT-R15","kildir","2019-08-19","16:02:00","2019-08-19T16:02:00Z",48.9551,-68.4398,"ocean",171,5.25,15,"subsurface",4,27.2207,2.038538528,0.2953257,11.12833333,9.024666667,1.541,1.538666667,0.106233333,0.101736667,0.079,0.197,0.056540378,1.063863834,94,6,12361,4917,6,0,555333,1471433,0.025620728,0.060704315,0.034363944,0.29015687,0.043392944,NA,0.299503267,NA,0.05815388,NA,0.014337473,0.827857073,0.0191687,0.043303743,0.034462572,0.029843953,0.319259165,NA,0.050899318,0.025792097,0.029567045,0,0.008715726,0.15348544,NA,NA,2.035166568,2.095870883,0.030391591,0,0.036676016
"wiseman-OUT-R14-2019-08-19T17:22:00Z","wiseman-25","wiseman","OUT-R14","kildir","2019-08-19","17:22:00","2019-08-19T17:22:00Z",48.9775,-68.4473,"ocean",154,3.5,16,"surface",0,26.2618,6.256900433,0.652332329,17.026,13.73733333,1.508666667,1.659666667,0.09638,0.116633333,0.042,0.067,0.09317657,4.435443677,133,139,26872,8289,300,11,470833,1481528,0.040409342,0.25191547,0.094313522,0.913584312,0.181946935,NA,0.615770622,NA,0.167712566,NA,0,3.545451818,0.045597826,0.068795179,0.068615964,0.034463045,0.701512362,NA,0.209442114,0.04082654,0.013905986,0.014330334,0.01966057,0.310033404,NA,NA,6.829076312,7.080991782,0.119881241,0,0.170664819
"wiseman-OUT-R13-2019-08-19T18:10:00Z","wiseman-26","wiseman","OUT-R13","kildir","2019-08-19","18:10:00","2019-08-19T18:10:00Z",48.99428,-68.43633,"ocean",126,4.25,16,"surface",0,25.6183,5.368824242,0.616809281,5.23,3.549666667,1.643,NA,0.098623333,0.122533333,0.035,0.157,0.077131002,5.431861274,272,83,25856,8344,139,6,455722,1163278,0.04527365,0.177102269,0.076284542,0.823813482,0.138455321,NA,1.075712931,NA,0.128245386,NA,0,2.225258575,0.045804577,0.067783056,0.051203753,0.045533673,0.689021257,NA,0.18293155,0.052288026,0.017029019,0.018393976,0.017246251,0.282176253,NA,NA,5.452545074,5.629647343,0.095712588,0.003536255,0.123733374
"wiseman-OUT-R12-2019-08-19T19:07:00Z","wiseman-27","wiseman","OUT-R12","kildir","2019-08-19","19:07:00","2019-08-19T19:07:00Z",49.00927,-68.44135,"ocean",73,4.5,16,"surface",0,24.2787,3.502855065,0.714618764,21.554,17.80266667,1.976666667,2.117333333,0.101573333,0.132233333,0.019,0.024,0.827641881,8.42570098,5050,83,20811,6894,39,6,584200,1419433,0.039096608,0.105253304,0.042897731,0.467430212,0.08745292,NA,0.425595429,NA,0.116999097,NA,0,1.568369034,0.043345207,0.069656197,0.052268062,0.04044433,0.436873722,NA,0.226398865,0.045354482,0.018726708,0.015883398,0.020387024,0.305209391,NA,NA,3.886908357,3.992161661,0.063944661,0.003093193,0.063611027
"wiseman-OUT-R12-2019-08-19T19:07:00Z","wiseman-28","wiseman","OUT-R12","kildir","2019-08-19","19:07:00","2019-08-19T19:07:00Z",49.00927,-68.44135,"ocean",73,4.5,16,"subsurface",4,27.6171,3.439276883,0.851907269,4.921,3.56,1.434666667,1.554,0.09544,0.098443333,0.008,0.127,0.064533862,0.644219077,300,28,8711,5494,133,0,459972,1722444,0.04261679,0.129105317,0.025362944,0.488087897,0.100013112,NA,0.184541039,NA,0.20730672,NA,0.017083401,2.286542767,0.011614499,0.017578887,0.015440044,0.017981089,0.310131634,NA,0.054567213,0.049420201,0.016904843,0.007681,0.00819431,0.138346195,NA,NA,3.448475331,3.577580648,0.083443466,0,0.05866715
"wiseman-OUT-R11-2019-08-19T20:02:00Z","wiseman-29","wiseman","OUT-R11","kildir","2019-08-19","20:02:00","2019-08-19T20:02:00Z",49.02667,-68.43502,"ocean",3,NA,17,"surface",0,21.6894,6.034881385,1.549289281,5.9605,4.3065,2.497333333,2.611666667,0.1073,0.131566667,0.019,0.077,0.198352411,17.34447103,10511,767,16733,7194,89,22,694528,1770333,0.037289613,0.168191308,0.075032255,0.550226838,0.128732706,NA,0.613806054,NA,0.20713998,NA,0.027438389,1.218211337,0.098840805,0.138589592,0.112840869,0.05160503,0.324639403,NA,0.501117268,0.036817067,0.01857898,0.02579354,0.043483049,0.785595608,NA,NA,5.357714431,5.525905739,0.087703961,0.016768621,0.12670022
"wiseman-MAN-F08-2019-08-20T12:02:00Z","wiseman-30","wiseman","MAN-F08","saucier","2019-08-20","12:02:00","2019-08-20T12:02:00Z",49.0865,-68.1451,"ocean",4.5,4,NA,"surface",0,21.8404,2.076887273,0.776501527,3.481666667,2.522333333,2.309666667,2.367666667,0.126933333,0.129366667,0.111,2.258,0.440686904,19.19587308,19306,61,13333,4139,0,0,673778,1809528,0.02169871,0.050930166,0.028042761,0.186722779,0.053983417,NA,0.054290351,NA,0.120001332,NA,0.020112354,0.765304266,0.021140404,0.049599989,0.023546962,0.03695547,0.116291584,NA,0.099079155,0.020651065,0.017596177,0.010396416,0.008169049,0.18935422,NA,NA,1.775510104,1.82644027,0.056752986,0,0.050952211
