sample_id,station_id,project,station,datetime,date,time,lat,lon,depth,nap_method,wv_deviation,wavelength,ad
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,373,0.231488761584768
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,374,0.230306630335429
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,375,0.226181809981843
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,376,0.219879878485379
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,377,0.221233935377198
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,378,0.216871459492374
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,379,0.214187921217017
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,380,0.21154783518101
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,381,0.209759339182917
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,382,0.206964538325881
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,383,0.204808613252287
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,384,0.201577193512164
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,385,0.199512276108885
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,386,0.19800782025878
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,387,0.195456762829143
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,388,0.194065460678845
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,389,0.191437207555026
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,390,0.189246832850738
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,391,0.186921497174688
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,392,0.184448331848516
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,393,0.183010568709804
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,394,0.180125885558252
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,395,0.178135639871257
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,396,0.176072075442158
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,397,0.1747051496816
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,398,0.172407716054113
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,399,0.170024628934662
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,400,0.169186126637708
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,401,0.167958673686271
wiseman-1,wiseman-BDA-01-2019-08-17T22:25:00Z,wiseman,BDA-01,2019-08-17T22:25:00Z,2019-08-17,22:25:00,49.25,-68.11715,0,measured,0,402,0.166269133272779
