"sample_id","station_id","project","station","datetime","date","time","lat","lon","depth","wavelength","ag"
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,254,16.56990076
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,255,16.44496301
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,256,16.32002526
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,257,16.1935445
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,258,16.06591224
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,259,15.93595395
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,260,15.80401508
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,261,15.67140834
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,262,15.53170836
"wiseman-1","wiseman-BDA-01-2019-08-17T22:25:00Z","wiseman","BDA-01","2019-08-17T22:25:00Z","2019-08-17","22:25:00",49.25,-68.11715,0,263,15.38590543
