class,wavelength,r_rs_b_mean,r_rs_b_sd
agar,696.1,0.038028632893210276,0.01772711716858625
agar,697.6,0.04211254109048823,0.018606383006672854
agar,699.1,0.04737105300984785,0.0204370952511695
agar,700.6,0.05348266812419192,0.022962136913425434
agar,702.1,0.0603960635421427,0.026055141411787677
agar,703.5,0.06773438997846684,0.029710842783637968
agar,705,0.07537979202258402,0.03378226583793632
agar,706.5,0.08352884872739588,0.0386707602250643
agar,708,0.09226220257020219,0.04360423206421292
agar,709.5,0.10197376161341476,0.04988396642569448
agar,711,0.11291701503872738,0.05745820002299734
agar,712.5,0.1252639458367295,0.06700360618427233
agar,713.9,0.14157500771592893,0.08012365557719106
agar,715.4,0.16013140643486118,0.09394271351541444
agar,716.9,0.18180180577356755,0.11183619612906885
agar,718.4,0.2077551232867381,0.13297633608169382
agar,719.9,0.23905930414656812,0.15709306375085705
agar,721.3,0.2614219124409237,0.1760054600594485
agar,722.8,0.2824709200481455,0.19719904317187462
agar,724.3,0.31198664822670874,0.22400964901205822
agar,725.8,0.34238021259119317,0.23605431279103598
agar,727.2,0.3530924262084647,0.24861479450548224
agar,728.7,0.3758724855902538,0.2674762288028005
agar,730.2,0.38509254857921343,0.2895134820583635
agar,731.7,0.389407978567497,0.29231741508793535
agar,733.1,0.4011922063980783,0.30532513037953196
agar,734.6,0.4039022142357987,0.3050989354904544
agar,736.1,0.39988099404777233,0.3099278699012677
agar,737.5,0.3907426134947948,0.2949405766185466
agar,739,0.3892451016549879,0.2983835195307076
agar,740.5,0.3863443325620969,0.3072652399788772
agar,742,0.38804477908231505,0.3065362176098052
agar,743.4,0.3852434313186016,0.3104638968052151
agar,744.9,0.39284327526489526,0.33103185835382787
agar,746.3,0.37344148626952184,0.3193610592798295
agar,747.8,0.36158074787718875,0.29497821574995875
agar,749.3,0.3477466418832911,0.2734595616867587
agar,750.7,0.34233719177598887,0.27705125302787714
agar,752.2,0.3400006167995606,0.26511567329657615
agar,753.7,0.33313438250226657,0.2626517521203246
agar,755.1,0.31698152632250787,0.2382031239726262
agar,756.6,0.2962956264667227,0.2247076115258411
agar,758,0.2755991874571408,0.21118999366272503
agar,759.5,0.27693079538804244,0.22359155214627138
agar,760.9,0.2545554346266972,0.20770552306444784
agar,762.4,0.23404738803631675,0.18918977004737042
agar,763.8,0.22836502352126625,0.1854494513861944
agar,765.3,0.22367331202529803,0.18166363982188696
agar,766.8,0.2057164502669969,0.1648778848625608
agar,768.2,0.20382653059410558,0.15589345751010192
agar,769.7,0.18880354823785406,0.14412764513548448
agar,771.1,0.16838588775214958,0.1310001776609851
agar,772.5,0.15660411998037344,0.12062910369339364
agar,774,0.1497605126662848,0.1258359956398243
agar,775.4,0.14147422090903145,0.11182478088092648
agar,776.9,0.13924791883962595,0.09890872445883002
agar,778.3,0.1349960831850994,0.103395095881135
agar,779.8,0.12643663721055193,0.0912776541642906
agar,781.2,0.11861142929199105,0.08504661228370239
agar,782.7,0.11950459881808159,0.08232860888383366
agar,784.1,0.11677941218744559,0.08244518675628468
agar,785.5,0.11008776907279878,0.07691233134128758
agar,787,0.10881546759999101,0.07119076896339914
agar,788.4,0.10193936857364332,0.07718371273970845
agar,789.8,0.09897499990014814,0.07693215961952288
agar,791.3,0.089852816906887,0.06799746288022689
