class,wavelength,r_b_mean,r_b_sd
saccharina_latissima,638,0.05128966666666667,0.02176879408391875
saccharina_latissima,640,0.05228800000000001,0.022118967928504773
saccharina_latissima,642,0.053928000000000025,0.022570934308432062
saccharina_latissima,644,0.05569600000000002,0.02307892718477183
saccharina_latissima,646,0.05706875000000001,0.02336777921559406
saccharina_latissima,648,0.057875,0.023624417982248798
saccharina_latissima,650,0.057532,0.023595837862734285
saccharina_latissima,652,0.056024,0.02323365116951416
saccharina_latissima,654,0.05335999999999999,0.022542803729793687
saccharina_latissima,656,0.04941599999999999,0.0214943132530961
saccharina_latissima,658,0.044921250000000024,0.020162627673185378
saccharina_latissima,660,0.040024000000000046,0.018535933630533873
saccharina_latissima,662,0.03568133333333337,0.01670708060141637
saccharina_latissima,664,0.03237066666666669,0.014857055637717147
saccharina_latissima,666,0.03026400000000002,0.01325473047632431
saccharina_latissima,668,0.029698666666666665,0.01177031803591844
saccharina_latissima,670,0.03041866666666666,0.010578966973302373
saccharina_latissima,672,0.03220450348562962,0.00968327613860984
saccharina_latissima,674,0.03500572603733331,0.009204768348487527
saccharina_latissima,676,0.03859028394666664,0.009154321207806697
saccharina_latissima,678,0.042605528661333304,0.009458386339248786
saccharina_latissima,680,0.04686475851851848,0.010251228280410416
saccharina_latissima,682,0.05129388134399996,0.01135406020913871
saccharina_latissima,684,0.05608403062518514,0.012718979208359583
saccharina_latissima,686,0.0625058338417777,0.01478820809371519
saccharina_latissima,688,0.07103183761066659,0.017379429573376303
saccharina_latissima,690,0.07909890844444437,0.0201921890904828
saccharina_latissima,692,0.0879560234382221,0.023406712733730014
saccharina_latissima,694,0.09892931814399986,0.02685338160918646
saccharina_latissima,696,0.11136084681007394,0.030681375907164864
saccharina_latissima,698,0.12434399481362948,0.03479920331261456
saccharina_latissima,700,0.13810939733333316,0.03935290573690378
saccharina_latissima,702,0.15209688849066652,0.04444945011733752
saccharina_latissima,704,0.16529357591703703,0.05018266383563567
saccharina_latissima,706,0.17670466645333333,0.056222801524967406
saccharina_latissima,708,0.18709897453037042,0.06268155600314498
saccharina_latissima,710,0.19584867911111112,0.0691968012694393
saccharina_latissima,712,0.20333571814400006,0.07565594280409847
saccharina_latissima,714,0.20992421907369324,0.08192162704356638
saccharina_latissima,716,0.2148834772480001,0.08728493716840231
saccharina_latissima,718,0.219259258112,0.09130834894845392
saccharina_latissima,720,0.22471084656084667,0.0948689279369836
saccharina_latissima,722,0.23029407407407418,0.09924028368025904
saccharina_latissima,724,0.2349139682539683,0.10256750539099373
saccharina_latissima,726,0.23923492063492063,0.10550070633072171
saccharina_latissima,728,0.24319851851851843,0.10843656915849093
saccharina_latissima,730,0.24684962962962956,0.11121372394134288
saccharina_latissima,732,0.25011370370370367,0.1140470753456017
saccharina_latissima,734,0.2530026984126984,0.11690721382405923
saccharina_latissima,736,0.25565407407407403,0.11927032188568976
saccharina_latissima,738,0.25820238095238096,0.12160189980073252
saccharina_latissima,740,0.2605725925925926,0.12379264353679165
saccharina_latissima,742,0.26277777777777783,0.1259757144479401
saccharina_latissima,744,0.26480444444444445,0.12817070539800518
saccharina_latissima,746,0.2666928571428572,0.130242088823162
saccharina_latissima,748,0.268357037037037,0.13211356243403757
saccharina_latissima,750,0.2698655555555555,0.13388874905018056
saccharina_latissima,752,0.27134391534391533,0.13556497733968698
saccharina_latissima,754,0.2725912698412698,0.1372159711531878
saccharina_latissima,756,0.27367703703703705,0.13879967711742427
saccharina_latissima,758,0.27444666666666667,0.14055996221462846
saccharina_latissima,760,0.27556587301587304,0.1400602704076189
saccharina_latissima,762,0.2768081481481482,0.1387610443963842
saccharina_latissima,764,0.2779674074074074,0.14104046568447595
saccharina_latissima,766,0.27889417989417986,0.14450011525738604
saccharina_latissima,768,0.2794817989417989,0.14716513251597826
saccharina_latissima,770,0.279944708994709,0.14841072017185944
saccharina_latissima,772,0.2803468253968254,0.14899863729992152
saccharina_latissima,774,0.2808206349206349,0.14959324047213712
saccharina_latissima,776,0.2812325925925926,0.15011354219184464
saccharina_latissima,778,0.28170396825396826,0.15077470556479936
saccharina_latissima,780,0.28211619047619046,0.1514339682154518
saccharina_latissima,782,0.2824979365079365,0.15203419518501604
saccharina_latissima,784,0.2828301587301587,0.15263645642112564
saccharina_latissima,786,0.2831185185185185,0.15313250174959164
saccharina_latissima,788,0.2832720634920635,0.15349383901601074
saccharina_latissima,790,0.28349037037037034,0.15389171835304133
saccharina_latissima,792,0.28371825396825395,0.1543116027846521
saccharina_latissima,794,0.28383650793650794,0.15463481348449068
saccharina_latissima,796,0.28398253968253967,0.15497152894832167
saccharina_latissima,798,0.2840530158730159,0.1552283326305065
saccharina_latissima,800,0.28404444444444443,0.15541355867202933
sediment,340,0.11627058823529413,0.04817083512252391
sediment,342,0.11623541666666669,0.0492264457740112
sediment,344,0.11315294117647058,0.04896627170518381
sediment,346,0.11143333333333334,0.04979069012292024
sediment,348,0.11017745098039211,0.04632406780888488
sediment,350,0.10927708333333333,0.045083485347094304
sediment,352,0.10717732843137256,0.044412954747439025
sediment,354,0.10497371323529411,0.04430164613203565
sediment,356,0.10237291666666666,0.04215463658266628
sediment,358,0.10170000000000001,0.043763519749897326
sediment,360,0.10033149509803921,0.04118607372108888
sediment,362,0.09864926470588234,0.040805176601749905
sediment,364,0.09501250000000001,0.03778572750556749
sediment,366,0.09105251225490198,0.03626584193900672
sediment,368,0.08898125,0.0346322481132109
